Genotype,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,Environment
G11,178.7122,189.3206,210.1768,213.9383,214.8728,228.0849,205.2477,194.0458,218.6628,215.8808,192.3322,201.1943,195.691,212.5099,176.0031,187.4004,209.9436,200.5396,196.2105,194.8324,233.47,192.288,210.371,253.723,195.7085,209.2143,208.549,217.8403,186.4588,178.8278,196.1258,188.5218,231.2523,190.141,201.9095,223.3459,202.8986,187.3788,233.0348,202.0844,201.2569,212.3803,198.5128,228.3926,202.7301,203.54,205.7294,222.0968,195.6694,213.0132,256.5623,214.0229,209.9356,205.3846,233.7212,183.3863,229.3813,237.7473,177.7061,167.892,Environment_0
G12,194.1822,194.5375,215.04,227.5129,240.1302,215.5828,211.1852,221.2624,224.8653,189.9164,227.8958,214.1525,190.0701,211.1444,242.3271,221.0454,210.4438,176.5859,193.8529,195.6294,206.853,225.3352,223.8464,193.157,223.6313,214.3186,181.4146,200.0287,223.2272,210.9687,221.9576,207.6213,201.6529,222.8884,202.5179,203.217,194.6823,231.8137,221.5148,213.575,224.577,228.1244,190.1088,169.1576,196.2433,203.0295,192.86,194.7512,176.8823,231.6022,187.4736,210.2973,223.232,229.9651,212.8592,212.6172,216.4468,215.4399,216.1163,232.988,Environment_0
G13,225.3191,188.4302,228.6211,203.3486,197.9114,186.3599,236.0089,215.0428,215.8631,224.9557,224.3867,202.876,191.156,213.0493,195.4918,210.9948,176.1031,223.699,177.6799,207.3707,217.889,205.3972,178.8666,214.5333,211.0788,194.2089,227.4298,190.887,196.7854,221.8314,208.5853,201.4459,207.8179,193.1063,185.7064,214.8411,203.8234,205.0624,207.981,213.3172,209.7299,187.0069,229.8693,199.4444,181.7462,239.1439,243.0629,210.1445,201.5157,205.357,241.8156,200.3896,201.3474,206.5119,194.72,193.0671,213.247,203.3988,196.5126,238.6081,Environment_0
G14,202.2623,176.0204,203.3532,186.2269,207.9849,193.0089,199.5958,194.3531,197.5692,173.927,236.4068,202.4314,183.2287,218.1225,199.0184,249.7485,187.3487,188.2222,214.4025,208.1076,183.4186,196.7156,207.327,156.4159,197.4784,175.9885,217.1897,194.6248,218.5865,184.24,222.5695,180.0195,209.7368,210.4327,201.2365,212.8866,185.9228,225.1488,211.0704,217.63,194.2747,214.8708,213.8613,233.9526,202.1883,215.9012,215.6654,197.9708,221.3733,194.7457,219.5307,219.116,174.6333,196.7423,170.315,210.1664,197.5012,243.5878,179.2758,187.6647,Environment_0
G15,188.5991,172.7563,193.427,181.5923,180.228,185.1553,171.2091,176.2379,204.2734,191.7585,188.8849,200.1123,219.8381,176.0034,178.3602,158.8967,140.5459,189.3327,192.6857,180.0337,184.4117,189.4015,179.0367,168.6961,192.1476,193.5627,217.228,171.4375,164.0708,209.7509,176.5168,185.7539,151.2287,157.5004,189.6507,167.3605,196.5535,143.1256,179.7564,211.6522,205.0512,175.1821,198.7495,215.2325,193.0729,195.4133,202.7799,145.1779,191.1096,195.0308,212.739,190.2463,184.033,176.8116,158.5577,175.5098,183.7504,189.3895,165.5734,181.0812,Environment_0
G16,194.1202,211.8958,174.6718,195.2933,210.5696,210.7673,199.9956,191.8434,224.1619,217.6257,200.0594,213.917,201.6167,215.6263,222.6113,204.3607,206.2531,190.0661,221.2878,198.4016,202.9119,220.2429,212.6658,198.4491,163.2539,174.293,197.3514,195.8218,222.5981,227.205,159.9943,203.2841,221.3149,229.5368,226.7475,162.2295,203.533,222.8734,165.9828,211.4375,207.5239,208.7947,192.4564,182.7497,216.2876,222.3378,197.9505,213.5936,184.7098,206.4733,223.7735,236.1385,204.029,201.7248,196.4923,193.502,215.8931,178.7635,208.3232,216.4235,Environment_0
G17,215.2665,216.9817,204.3077,219.4075,199.3576,176.3778,218.6515,214.1706,213.1713,192.5601,185.785,212.1723,188.7635,215.6936,201.4441,194.1083,200.849,220.7541,224.5602,219.1296,202.6987,209.4938,220.2934,209.1133,204.1905,190.9262,195.1185,189.6921,192.9714,233.1196,170.1886,192.5704,176.256,206.5128,203.4434,207.2741,221.9378,210.3817,211.7052,210.466,218.8749,226.9762,199.9304,213.1184,160.5493,225.5921,180.069,237.9267,189.3227,196.3949,228.1689,202.5154,182.2092,170.4729,191.5102,203.0053,211.394,180.811,195.3638,237.1235,Environment_0
G18,218.2039,237.1369,249.6945,196.5677,201.8783,215.0389,223.2098,199.8369,209.6931,214.4208,193.7045,208.8051,218.903,220.267,189.8208,208.7011,229.3613,231.7189,202.5864,174.7644,207.3366,204.2648,198.9096,198.9596,195.9191,205.9496,209.3174,172.8828,250.3709,191.1351,276.9851,166.92,190.5503,222.8802,211.2724,200.7568,231.5764,224.4173,193.1218,220.8456,221.4893,204.7515,190.5088,189.9282,208.0316,181.8973,202.2553,206.332,200.4243,211.0046,253.1178,212.7265,214.1822,176.4033,216.6484,192.3902,216.0871,201.8897,222.3301,198.4958,Environment_0
G19,222.1827,241.3955,207.8383,206.1844,184.7225,222.4302,183.0321,219.6809,201.58,183.8645,214.64,216.3762,211.9235,237.0316,198.6354,214.488,207.681,215.8401,205.7646,207.1832,222.0628,188.647,210.3912,219.2106,193.6031,202.2789,215.189,214.6701,189.9171,194.461,199.2328,201.6521,230.7722,218.8618,238.104,166.982,222.4232,225.1919,217.2189,186.4083,229.8093,182.5773,190.7477,195.5687,220.4149,210.1994,199.4761,170.3862,232.0399,213.4972,220.9247,192.4409,201.468,198.8844,186.7184,223.6718,193.5252,233.9936,206.9292,197.3798,Environment_0
G20,225.7328,217.2218,226.3469,203.0533,251.8864,182.6965,209.2043,231.0221,203.4438,202.4517,190.1665,219.4842,218.2589,182.9615,245.4275,212.0875,223.6491,238.0689,227.5701,178.0781,228.2009,199.2302,215.8156,215.7657,220.6436,202.773,199.9205,234.9393,239.2526,179.1229,201.3452,212.486,197.66,193.4682,194.8231,162.5097,215.0347,231.739,199.3611,229.5205,199.2376,240.9254,203.6392,211.0213,215.3207,228.1652,212.1611,204.1198,243.9078,196.3839,198.3658,217.9704,176.6617,206.8891,187.6376,217.4338,221.7604,177.4595,201.4177,182.8936,Environment_0
G21,186.6851,183.8611,192.4964,177.6586,182.8461,195.669,190.0041,174.2533,184.8755,165.5925,177.2096,185.3898,166.8083,187.2839,202.3774,190.9665,162.6758,193.7004,165.3337,206.6237,155.8936,219.6969,172.1745,171.0164,152.7713,172.3434,182.4024,205.1506,167.6703,155.5841,162.3403,180.6774,165.31,226.938,184.8891,182.2878,156.5022,157.8657,166.9368,175.5466,169.3427,176.1077,172.3524,161.171,187.4608,151.9469,222.1634,191.4556,188.3938,189.2131,187.4449,189.8331,196.0958,187.1069,178.3158,168.1315,167.2968,169.7239,186.6363,216.2565,Environment_0
G22,193.4037,219.0824,178.2357,216.871,204.2909,167.0977,199.8183,205.2912,197.1919,180.0742,219.672,178.5556,206.2476,180.7819,188.8578,183.6271,211.3399,169.32,217.9744,207.018,201.2829,164.9273,208.7376,215.7986,234.0373,208.7019,219.5444,234.8654,164.4599,216.0402,203.1722,199.3879,214.8079,182.0954,197.8933,220.4309,199.0816,180.6015,192.1209,179.788,212.3639,201.609,189.0699,167.8839,195.1785,191.6699,205.6139,202.9921,182.75,193.0741,197.3747,196.0919,179.3171,215.8592,187.6876,198.8334,252.6673,206.3063,213.2607,205.071,Environment_0
G23,211.4274,171.3335,218.1373,176.8076,179.5338,176.8547,184.5179,189.4048,190.6393,183.7077,193.1036,199.3055,170.4999,154.7681,196.9091,166.2047,215.5987,204.2149,186.1734,182.9558,174.9159,210.3048,194.9338,175.1734,174.3648,187.1721,199.0265,187.3147,191.2236,214.4891,162.0522,196.5358,195.6506,126.5554,178.6782,155.398,195.6108,140.1976,185.94,168.778,154.1922,204.5231,193.4709,167.6778,211.4009,154.8604,196.9642,202.6942,197.2396,206.6073,175.7014,159.069,208.8575,167.4273,186.764,165.1904,192.3661,191.3531,236.4762,198.8343,Environment_0
G24,218.0503,195.6732,175.6823,187.4664,188.1127,208.6221,207.6846,182.6397,185.9465,202.7673,208.3049,191.2967,176.3096,216.5956,203.6775,204.6273,224.3779,190.1672,231.1801,197.503,218.8037,194.8644,227.2177,209.2624,202.562,241.5401,178.8897,242.7573,209.6606,191.7345,231.9653,212.538,209.2598,201.0946,177.3741,212.0047,229.3379,219.5205,238.7448,209.7888,212.361,195.269,203.872,208.5077,176.9473,167.9563,231.8712,203.7958,209.9511,216.3363,202.692,197.8448,211.4747,196.583,215.8468,182.4569,234.3572,195.5157,226.2647,193.5052,Environment_0
G25,221.8824,222.0371,229.7058,200.103,202.6325,216.0852,207.2496,213.9644,215.6177,209.1737,188.6292,226.4107,180.8093,210.5675,183.8575,202.5799,198.5223,215.687,192.8475,189.0048,209.4544,203.7687,229.0142,223.08,185.7789,229.829,217.2646,201.6032,214.1298,207.9119,225.928,231.4647,219.9519,227.8582,231.1385,189.7468,223.5476,226.3773,198.1275,212.3243,226.0749,219.5762,183.9713,208.6423,189.6492,199.1824,218.9651,184.9771,227.638,212.9937,199.1644,185.3144,169.3803,191.6856,201.074,222.2261,208.114,220.6796,203.8039,220.1234,Environment_0
G26,182.5786,200.7682,193.9983,193.1192,206.2621,185.7994,201.9396,219.0557,201.7082,185.6388,158.3339,171.7612,206.8211,187.3423,213.3105,189.3641,217.7974,205.9938,193.6156,223.6297,166.4797,204.5779,176.4806,208.7918,189.156,223.3078,185.667,188.4086,213.1233,213.9085,208.1902,181.7164,195.7454,189.7948,148.3906,199.1702,179.0848,195.98,203.6905,190.4866,206.4114,214.8673,214.8531,181.2018,197.6574,200.2983,192.5768,174.5296,210.197,173.0569,187.6962,184.2299,179.998,195.8252,202.0631,191.9962,176.3526,185.6684,221.5224,206.4212,Environment_0
G27,213.4365,189.8497,200.0544,202.8747,242.3972,192.4884,192.8582,185.4569,219.6887,236.1428,221.1429,237.1433,214.9779,226.3733,246.3615,238.3994,203.0343,213.8053,205.6902,217.5693,177.1487,197.7815,233.3378,196.8519,192.505,202.8455,199.6405,219.6319,189.903,216.7832,216.733,228.2338,224.5728,206.4621,220.9081,241.7963,222.1275,207.0873,218.6684,213.7634,227.4231,204.2337,218.9486,223.1646,214.5789,204.2938,214.7795,201.3781,207.1137,232.8334,216.2005,229.1026,230.6522,213.3563,226.1372,222.1131,220.8617,212.6459,214.6593,233.9371,Environment_0
G28,183.8877,200.2794,195.7353,178.337,190.5111,180.5914,185.2119,194.3234,193.6391,162.1012,189.2281,155.4139,168.952,163.8061,214.925,203.2811,183.4599,208.1067,208.7277,191.375,182.9053,204.8573,189.7628,190.2634,200.4003,196.2431,167.6272,219.9165,160.062,175.4739,173.1955,165.8754,195.8431,194.0567,202.9705,172.048,164.3653,163.9306,156.2006,174.4604,194.3467,186.3518,197.5888,213.9236,159.359,183.8911,165.908,155.3575,178.1251,164.5986,177.5221,168.9647,179.0474,204.518,192.847,186.4855,206.292,210.2812,183.2668,172.138,Environment_0
G29,221.0923,212.2354,208.7417,197.6841,225.0474,193.6709,207.8092,232.5968,213.9007,197.8342,167.2544,193.6613,221.8583,225.2177,243.8502,164.9384,200.7874,200.773,185.3842,187.2887,189.7052,213.5099,223.5338,199.0399,176.0765,182.8223,196.1666,175.5706,181.0537,218.8673,196.0614,199.7453,205.4973,177.0861,176.0819,163.0359,170.454,201.5273,221.9885,212.4736,190.3409,233.0825,206.2639,220.716,196.1654,203.2529,192.1067,212.1374,199.7382,181.9319,198.5432,212.4675,176.0768,210.5723,192.0835,184.4029,193.1727,218.0982,198.5453,176.0764,Environment_0
G30,213.7048,205.8648,242.9033,237.0258,158.8096,201.7289,214.7336,208.2289,163.2034,212.0081,202.5421,214.1562,231.5716,232.8851,213.4841,232.9871,200.4816,199.6981,225.2323,210.7188,226.1248,213.9482,211.0626,214.6134,211.4912,207.2811,244.7412,195.452,220.9062,249.3573,233.0359,191.7675,202.258,203.4341,206.0977,186.5606,207.6585,219.3328,236.5878,203.7374,188.6389,229.5328,209.7271,218.7922,221.3243,204.8617,197.8287,178.9018,176.9292,210.8296,215.6306,197.6722,222.9889,202.3191,183.2044,205.9546,202.1721,217.0566,227.0689,205.8881,Environment_0
G31,204.3149,208.1634,197.4361,164.411,183.4154,188.9759,188.758,191.5691,195.136,191.8084,215.8956,189.412,219.7554,242.7789,209.7289,184.336,216.5942,180.6282,182.2688,192.8745,213.6829,189.762,196.0292,201.9437,218.8127,232.1921,224.6706,170.6117,207.5059,200.19,225.057,208.1668,233.8107,200.3196,188.9117,177.616,201.8866,185.3675,188.1617,214.5491,202.1195,181.1983,192.1102,175.7209,197.7424,213.9155,177.7068,210.8904,184.5609,215.7864,230.7059,208.9126,220.4346,243.2563,212.8716,200.5998,202.6321,205.8402,197.0262,169.4121,Environment_0
G32,206.6972,198.3274,202.6292,197.6998,216.4599,206.7389,195.1207,207.0989,187.8834,202.556,186.0352,183.7579,192.2814,173.3486,209.9002,167.4654,189.0639,177.5344,192.0792,198.3919,185.5099,186.3432,220.4531,215.358,187.8441,200.9477,235.0164,212.5882,199.3961,198.5854,176.4407,198.3327,192.7178,212.0557,166.6527,196.8647,144.3129,186.7178,206.8822,193.2605,215.8673,185.9562,173.7151,188.0831,200.4881,176.8272,228.5329,143.4897,189.7976,196.1206,170.4289,214.3358,212.2169,222.179,210.2426,175.4476,162.5988,221.9577,193.4388,194.4575,Environment_0
G33,229.639,202.1005,169.5158,192.2515,204.5923,182.8648,193.4435,180.6171,194.773,192.8927,214.3335,190.7762,176.4708,194.0902,176.2584,231.1872,224.7746,195.6104,187.747,231.8826,236.9028,168.4127,215.2862,180.2208,173.6407,164.0124,203.9377,196.4295,199.9285,162.9172,154.4518,205.1383,168.967,185.1395,197.1315,196.7195,159.3515,212.028,194.2059,188.0846,212.3209,206.3024,194.4377,215.2962,203.9662,197.8477,186.8796,213.0483,200.657,235.5864,178.5761,191.4739,196.292,211.4631,210.9361,206.7092,203.8293,213.6394,182.0933,219.2549,Environment_0
G34,201.8536,209.8155,197.3156,195.7211,231.6025,164.878,206.4391,196.1322,216.2919,206.3105,192.3066,239.9974,198.0204,219.7122,205.4769,202.5186,220.821,225.1717,208.1197,216.0195,216.1685,231.1574,195.48,166.7033,217.2981,218.9494,183.0912,195.8842,227.5068,184.2799,235.2188,146.2442,205.208,186.8936,219.3615,217.0988,184.3854,209.4669,185.2709,175.842,188.2656,222.7201,200.4014,179.1107,211.3492,195.5193,214.8647,234.0979,208.3703,228.0818,188.772,190.8213,206.1874,209.1785,187.7389,189.5923,204.5925,231.1763,201.3441,193.0465,Environment_0
G35,189.5931,212.5531,191.3055,203.7374,206.0683,204.9625,213.717,175.1336,202.7476,201.7435,187.5016,231.5116,185.3894,206.653,222.5666,233.3687,177.9524,186.4093,217.9512,215.9649,197.0002,194.4112,234.6918,249.0942,174.5432,216.5634,204.2648,215.8043,191.3513,157.6713,196.9891,193.5508,163.4643,234.7739,211.552,206.7538,217.9428,182.3924,214.3763,216.9831,201.8257,192.3792,239.672,162.1394,225.4633,208.4122,201.3502,199.7194,199.1679,190.4672,207.6674,198.4141,184.2204,176.8806,231.1354,216.147,195.5688,195.7583,226.3074,189.6111,Environment_0
G36,177.4788,179.0967,214.0336,228.8873,210.7439,207.5275,206.4587,175.9885,208.4682,197.3546,208.0041,194.486,226.0378,200.0841,205.2918,181.8865,214.9087,212.0175,229.0419,190.3238,213.5556,193.0932,218.9436,181.1761,200.8968,194.6896,188.1618,202.9122,216.6886,190.3663,218.971,225.3023,196.4802,201.5439,204.2762,213.0278,200.2332,218.3207,183.2797,200.1314,193.6941,218.1746,205.8848,217.0613,196.2378,250.5184,199.0696,205.6177,196.1454,181.7915,202.4079,208.0405,202.2137,181.5084,195.5897,229.1791,202.6356,194.6951,201.6639,193.3109,Environment_0
G37,181.1876,217.652,180.3747,210.1891,209.3185,201.5551,208.468,178.5316,174.0297,189.1809,174.1276,166.3866,172.8668,206.2768,223.0485,202.9791,185.7767,169.5242,176.0732,222.9114,187.3312,216.4789,202.8569,205.5397,209.3242,202.6921,185.8391,179.4031,183.6436,196.3432,232.4496,195.5449,203.7157,174.5833,209.062,200.5675,188.2208,226.0375,188.9594,193.263,184.1965,212.6283,192.9995,191.0035,201.154,192.1461,206.7279,207.8202,176.5769,145.6755,202.6532,194.3464,174.2316,216.6688,193.0557,207.1842,203.3362,232.2219,192.9037,207.6444,Environment_0
G38,218.0266,166.8069,205.2451,227.7189,194.1439,208.4003,199.5348,210.7664,176.0974,231.2771,224.1075,235.9581,243.9337,235.8456,210.3396,227.6556,229.8587,198.3875,224.0452,215.3245,210.4245,228.9293,205.2403,201.8534,201.0672,190.2022,204.8168,203.8744,202.4662,221.2488,234.8427,236.2073,213.6354,222.371,210.5214,210.2341,187.1713,219.179,198.4127,184.332,198.2754,204.4034,233.3056,206.2159,177.5704,202.322,214.9259,182.3784,202.9067,206.1798,252.4351,232.3282,195.4269,203.4192,239.1373,225.2251,214.3347,201.0711,194.2697,212.2037,Environment_0
G39,186.6989,206.7714,203.3153,150.9266,200.1847,206.0633,178.3056,208.2707,183.904,200.5127,208.4105,193.2585,217.597,236.7305,223.3048,200.7495,184.8475,194.6598,233.7236,192.1489,177.8872,163.8602,194.9218,211.6506,224.0211,174.2299,222.4875,204.3849,197.2366,200.8947,186.0691,190.894,223.8658,200.2877,187.4023,196.5843,198.1539,222.3736,193.0745,179.9865,238.1062,216.4223,186.8348,172.6111,194.0183,185.1023,190.8112,225.5428,204.6552,212.9802,203.346,219.7074,221.7626,249.1302,191.2568,193.5039,210.6538,181.3225,184.3112,203.4468,Environment_0
G40,180.3914,166.6191,219.4266,192.6114,195.5169,192.1776,180.0611,181.8083,206.8787,207.7352,190.3249,197.9721,212.3092,207.2112,202.6267,194.1057,209.7107,191.5371,192.3225,170.3316,205.4837,203.0897,188.8939,200.9066,175.4317,202.3885,219.4272,155.8344,185.8936,230.8025,203.5314,195.8367,165.4843,217.1905,182.9391,176.415,201.7552,182.5244,178.0923,177.4165,190.601,204.1195,174.4937,188.2695,199.7603,189.1099,179.1271,174.7288,231.6344,228.8314,190.8162,199.0501,176.1414,199.7439,202.7154,205.6522,182.271,213.6255,162.538,191.4232,Environment_0
G41,210.3007,178.2846,180.6209,180.5895,181.817,232.5781,225.5779,208.6966,226.2923,210.3166,206.7567,212.3124,217.207,183.6694,175.9415,223.6667,182.1964,208.6782,236.158,177.9569,181.0305,213.6659,183.8067,172.026,178.5367,205.9717,205.6497,203.9754,190.6717,184.6586,184.3546,199.4443,204.6414,192.547,200.0569,173.159,185.7627,194.1714,200.8267,181.3106,196.3176,218.4288,170.8329,195.8776,209.2372,252.3138,220.6613,182.5319,197.2036,185.8604,187.3687,219.5238,219.4141,224.8838,184.3865,210.0417,220.5249,195.7732,194.9156,193.5553,Environment_0
G42,227.7797,160.7262,197.8689,223.5732,207.6552,237.3894,217.9676,206.8768,191.1831,190.2425,185.8651,183.5493,227.0766,195.7657,175.1885,209.6503,194.5063,203.0295,176.4476,227.5557,182.7477,200.0618,187.462,192.5761,194.8145,222.4271,185.2824,219.65,179.0822,217.6358,195.4327,224.6902,215.4759,184.6931,241.9523,203.105,226.7802,199.2445,183.8832,222.4822,187.5629,204.6668,175.5271,187.7596,185.9791,188.4962,190.8198,193.9767,213.5561,197.352,204.8944,236.2163,198.2342,202.7133,201.1135,204.4256,229.884,183.8797,220.7665,219.604,Environment_0
G43,191.4622,188.7742,242.8615,221.9926,212.184,191.4938,175.7613,193.8608,185.0316,220.3055,209.4532,190.5967,202.9957,213.8836,209.8554,187.2186,194.6775,194.0076,184.0927,196.6259,193.2615,181.2437,206.3079,202.5599,208.432,192.4148,190.3825,160.8432,184.1403,198.8604,210.8063,198.8422,184.9614,194.2866,176.7538,187.5724,187.8792,185.4547,222.6508,166.2588,177.4465,218.752,199.4672,182.7038,185.5202,208.3072,171.9727,189.7317,175.7311,218.7783,212.0981,178.0001,192.1425,217.5886,197.8452,180.817,219.045,168.2869,208.7763,146.4656,Environment_0
G44,231.7539,226.0751,216.3609,213.2916,204.6137,191.3044,239.8515,228.1615,193.5765,207.1806,210.8554,222.2459,213.8153,173.4731,234.0197,204.4682,247.3855,194.6304,192.8706,212.8653,208.4691,243.6772,208.4282,210.0322,197.8522,210.4227,199.4762,227.1994,228.4681,217.4711,195.0751,194.4521,214.4908,227.6356,225.0861,216.004,239.9766,240.5256,208.6642,204.0754,251.2849,188.5874,198.3721,231.7606,191.4621,213.0321,201.7829,203.6539,228.4596,225.3634,242.3807,206.6764,195.6616,220.4409,211.9298,202.6322,240.1647,246.3358,246.9838,231.5918,Environment_0
