Genotype,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,Environment
Gen20,58.6915,58.8419,57.9786,58.0431,58.2586,59.8229,58.144,59.4948,56.2814,58.3894,Environment_0
Gen21,56.6445,58.9237,57.7933,56.4016,59.0194,56.3941,56.7462,56.923,59.9764,58.076,Environment_0
Gen22,58.3643,58.3018,57.3948,57.8559,55.6702,57.689,57.3275,56.2493,58.4065,56.6285,Environment_0
Gen23,59.9287,57.541,58.3377,56.9216,58.2673,57.0781,59.2226,58.138,57.7705,58.7876,Environment_0
Gen24,56.0221,57.4626,57.9914,57.8772,56.2077,56.0018,58.3277,58.1316,58.4338,57.4086,Environment_0
Gen25,57.4876,57.7273,57.6337,57.2273,57.7731,57.169,56.6876,58.8449,56.7492,58.7923,Environment_0
Gen26,56.0424,57.7511,56.7085,57.0142,56.354,56.9737,55.3733,54.9385,57.8516,56.834,Environment_0
Gen27,57.2762,58.5361,57.378,56.655,57.3627,56.6396,57.0102,58.2667,57.6972,59.3058,Environment_0
Gen28,58.2219,57.7701,60.0213,55.8483,58.3997,58.0069,58.1832,56.6019,56.7403,57.4293,Environment_0
Gen29,58.3303,59.3946,57.8772,57.356,58.8582,57.0917,58.751,58.4277,57.1729,58.8076,Environment_0
Gen30,56.7905,56.2493,57.5386,56.2736,58.4484,59.0834,55.9031,57.7383,57.7877,58.0685,Environment_0
Gen31,59.1488,56.6894,58.2059,59.2185,56.7619,57.4414,58.8969,57.8446,56.5814,56.3404,Environment_0
Gen32,58.645,58.6952,56.1186,57.7127,57.2045,58.6675,56.9756,58.0119,57.2321,57.821,Environment_0
Gen33,59.3627,60.9923,56.3537,58.3312,57.6735,58.9487,57.9973,57.4879,57.9304,58.2493,Environment_0
Gen34,58.4811,58.0301,57.3487,58.1975,56.6501,58.5104,57.2969,60.069,58.8997,60.84,Environment_0
Gen35,57.8163,58.3771,56.8202,56.7087,58.274,57.6514,57.7551,58.2679,58.9461,57.8436,Environment_0
Gen36,56.0476,55.5409,56.0825,56.1152,57.6329,58.8364,59.8497,56.2243,57.7268,56.7837,Environment_0
Gen37,57.9333,57.0,60.119,57.3942,58.906,56.3211,57.831,56.6196,57.196,57.0535,Environment_0
Gen38,57.6272,58.0301,58.0035,58.4493,58.8246,57.5969,57.8342,57.7442,57.6055,55.2157,Environment_0
Gen39,59.1818,56.3002,58.4095,56.4518,57.1682,58.9244,56.7189,59.4047,58.7527,57.3656,Environment_0
Gen40,60.6548,58.9917,60.2182,60.8732,58.762,58.3938,59.2971,58.9572,58.8036,59.9414,Environment_0
Gen41,58.0682,58.7247,59.4405,57.5855,60.0222,58.779,57.2808,58.7869,58.9731,58.6876,Environment_0
Gen42,57.841,61.0637,57.7403,60.4587,58.753,57.0682,59.6077,60.6814,60.1425,60.4495,Environment_0
Gen43,57.0524,57.9267,56.0765,56.6636,58.3441,57.9529,57.0913,57.2527,57.5391,57.5344,Environment_0
Gen44,59.0786,58.3855,58.4844,58.1504,57.7045,56.8116,57.7234,57.4917,57.889,57.8033,Environment_0
Gen45,55.2659,56.1815,56.5399,56.0929,57.7997,55.9436,55.1967,56.1164,56.9532,56.9032,Environment_0
Gen46,56.4948,57.1014,56.7111,55.8705,58.5863,57.6034,58.28,57.595,58.6403,57.027,Environment_0
Gen47,58.0394,57.6563,58.4141,59.1545,60.5545,57.4218,59.3793,56.8567,57.7148,58.8231,Environment_0
Gen48,56.8348,57.4765,57.1771,56.4262,58.2453,56.9772,58.3771,58.7797,58.3665,58.5875,Environment_0
Gen49,57.387,56.9307,58.6894,57.2067,56.7836,56.9781,56.1392,57.4746,56.3602,56.3064,Environment_0
Gen50,57.5828,58.2568,57.189,57.2045,57.1426,56.1898,57.499,56.2903,55.9262,56.5024,Environment_0
Gen51,57.4193,57.1231,57.6966,56.8515,55.554,58.5185,59.0471,55.9308,56.2614,58.7032,Environment_0
Gen52,57.0229,58.1756,55.262,58.3861,54.8641,56.1508,58.3632,55.9902,56.2396,57.8353,Environment_0
Gen53,56.2888,57.4689,58.1034,56.4713,58.0699,58.332,57.0443,58.1596,56.7274,56.7799,Environment_0
Gen54,56.962,58.7782,57.8074,57.6859,58.5125,57.5736,57.3674,57.4042,57.6692,57.1691,Environment_0
Gen55,58.9113,58.5995,59.5218,59.9541,57.8551,58.6416,57.3555,58.2661,57.7435,57.6114,Environment_0
Gen56,57.6842,56.422,58.2896,58.4717,57.1213,57.8567,58.3881,57.7657,57.7714,57.8603,Environment_0
Gen57,57.8295,57.9919,58.544,57.8163,58.2518,59.4003,58.7367,57.1369,57.9678,58.6787,Environment_0
Gen58,58.2776,59.7515,58.5335,59.2295,61.2007,58.4468,59.3256,59.4615,59.2863,58.3588,Environment_0
Gen59,58.5938,59.4715,58.7075,57.1548,58.7108,59.3982,59.5058,57.2501,58.6965,59.2329,Environment_0
Gen60,59.9033,58.4961,58.998,57.3696,59.7153,59.0281,58.3306,57.4713,57.9945,59.9315,Environment_0
Gen1,17.8091,10.3873,16.117,27.1019,22.7643,15.8628,10.9995,10.2305,30.2065,38.2479,Environment_1
Gen2,13.1129,25.4953,33.101,26.6256,16.6224,15.1095,26.183,14.7252,13.7804,26.0852,Environment_1
Gen3,32.765,32.85,17.1774,17.2785,11.6426,21.6841,12.9314,14.1803,36.1525,18.2039,Environment_1
Gen4,21.4852,20.5346,14.1138,28.5439,20.5604,27.6038,37.7465,28.3964,35.7996,20.067,Environment_1
Gen5,15.6884,21.1319,36.9956,22.5709,17.1401,37.8294,11.8831,18.2666,14.348,11.6015,Environment_1
Gen6,26.3286,24.884,25.0899,16.2594,17.758,11.2186,29.6735,29.9597,24.4228,35.7001,Environment_1
Gen7,31.9027,10.8493,14.6353,22.8685,31.6467,17.7582,15.3751,29.034,25.5619,19.6132,Environment_1
Gen8,16.2616,22.3628,38.5705,19.8595,12.0225,38.6855,10.5213,10.7757,29.6895,26.0138,Environment_1
Gen9,16.451,16.5124,32.9973,53.2163,31.9808,16.5515,27.3905,15.0745,17.1494,23.6979,Environment_1
Gen10,21.1882,22.382,20.1751,30.4281,23.6427,21.5723,22.7473,38.4525,32.93,20.6377,Environment_1
Gen11,26.0911,48.9572,15.3881,42.4722,31.103,45.3763,16.5703,30.4731,10.188,27.9235,Environment_1
Gen12,19.6436,29.0872,46.189,17.8616,18.1229,22.0935,23.416,33.1599,17.3798,19.0854,Environment_1
Gen13,28.8592,20.0155,11.5034,30.0172,26.2374,16.0268,16.4709,39.0417,13.6585,23.8099,Environment_1
Gen14,16.1157,15.5816,14.5056,19.2977,15.9157,13.1995,18.3284,16.1208,23.7178,18.5668,Environment_1
Gen15,40.8158,12.85,15.8785,19.8272,20.0479,31.401,33.2743,21.3262,30.9805,13.4732,Environment_1
Gen16,12.3826,16.892,13.0478,10.4837,13.3975,18.0226,17.0248,10.0291,18.7538,16.9715,Environment_1
Gen17,21.2702,38.8298,12.392,20.0637,36.9632,11.1506,24.1316,17.8604,33.63,24.4416,Environment_1
Gen18,14.8669,17.5077,41.9055,39.6388,33.8244,16.6844,14.8182,14.0772,18.2867,39.6275,Environment_1
Gen19,11.0467,29.6213,39.4461,35.2426,29.0405,34.0672,25.1257,32.5889,48.6001,19.7827,Environment_1
Gen20,33.0277,11.4499,20.5576,16.9231,42.1504,16.4381,30.3907,14.3764,24.6098,28.8416,Environment_1
Gen21,27.4054,34.8675,29.3272,37.2049,34.3405,13.7632,36.1663,18.9069,22.1931,27.1227,Environment_1
Gen22,12.8565,35.1474,19.5372,16.5483,11.6196,12.0141,24.8215,10.0525,27.5199,23.1028,Environment_1
Gen23,14.7051,15.4433,14.3456,25.8145,18.422,20.4961,34.5949,10.2925,23.4118,19.3936,Environment_1
Gen24,15.1973,29.2305,28.6494,18.1485,30.7475,33.3811,18.5641,18.6737,19.0446,19.5846,Environment_1
Gen25,15.0056,16.79,18.7678,15.716,20.0716,25.7798,12.0829,32.837,14.243,12.8548,Environment_1
Gen26,22.4355,11.7416,18.6494,35.0802,21.0524,26.8257,22.2762,10.1061,21.579,34.5207,Environment_1
Gen27,10.4841,18.5692,15.8444,38.6232,27.2035,37.1246,16.3824,16.2901,23.4899,39.8958,Environment_1
Gen28,29.9288,25.5047,34.6238,20.6544,22.7971,31.1678,16.1381,12.3805,10.0192,16.7681,Environment_1
Gen29,11.6094,32.9458,36.0825,20.748,16.1466,19.7841,15.4778,33.3083,26.4286,44.1525,Environment_1
Gen30,32.0095,19.7988,34.863,17.1524,28.8049,14.5281,28.5374,29.3973,17.1476,20.8568,Environment_1
Gen31,37.7573,45.8949,34.4961,12.6633,29.3884,47.8414,49.0182,37.9319,30.9837,31.7697,Environment_1
Gen32,13.3842,13.2391,16.7742,33.9393,31.5956,48.8764,15.783,35.5666,32.917,24.6706,Environment_1
Gen33,35.6111,31.9135,32.0906,10.5917,39.6363,14.4954,25.3724,15.5415,13.9352,17.4275,Environment_1
Gen34,12.4735,17.5393,29.2088,19.3233,21.0079,29.5483,26.4658,21.9753,43.3017,21.1394,Environment_1
Gen35,47.6194,18.3838,39.2894,17.6668,71.4176,25.0251,28.2837,33.5501,21.1295,26.9079,Environment_1
Gen36,18.9605,23.094,30.9297,12.5295,12.4399,20.5809,31.7218,10.5253,16.6059,13.8426,Environment_1
Gen37,29.8853,25.9392,38.5119,39.027,14.0695,27.7965,20.5226,19.0353,20.2959,20.2066,Environment_1
Gen38,33.2065,22.5153,28.7974,22.2761,26.6562,14.3255,23.4268,39.976,12.884,17.4025,Environment_1
Gen39,15.5779,15.5314,23.8739,26.6358,38.3357,37.1409,14.9447,28.2092,21.8379,19.3111,Environment_1
Gen40,10.6568,23.3429,10.2471,15.1873,26.839,14.4161,28.8756,21.041,19.7261,22.8378,Environment_1
Gen41,12.0693,27.5518,30.799,13.894,29.1589,30.3618,38.2039,17.1904,24.0292,34.4092,Environment_1
Gen42,14.5566,29.583,31.2583,36.0987,33.4315,17.7398,25.3846,13.7006,31.8172,20.7155,Environment_1
Gen43,33.2075,28.7941,13.0958,39.5546,37.0494,21.6496,16.8982,19.8255,17.2475,14.7874,Environment_1
Gen44,16.0861,22.9053,28.7045,21.6236,18.8894,22.1406,25.8543,31.5811,22.2959,25.5059,Environment_1
Gen45,17.0909,25.6262,20.3419,31.8022,50.6341,16.0718,13.5927,18.6164,44.3407,12.5248,Environment_1
Gen46,18.4657,33.2338,23.8259,10.2443,19.4684,15.2187,17.4313,11.906,12.8631,18.0207,Environment_1
Gen47,15.4088,31.7844,29.9928,37.6724,33.1814,13.9769,15.5246,27.2093,33.9764,22.3962,Environment_1
Gen48,12.6109,22.7027,25.7619,19.9792,25.844,13.39,19.2194,13.0755,26.559,20.3852,Environment_1
Gen49,17.06,37.7707,31.4158,14.2849,32.2627,25.5151,21.6539,10.5573,11.0178,18.9496,Environment_1
Gen50,29.9786,32.5698,25.3458,31.3168,29.1556,23.5223,87.1002,32.4874,25.9127,15.9902,Environment_1
Gen51,10.0472,20.4968,26.7273,36.0845,34.1458,32.864,12.066,20.143,29.1656,21.0103,Environment_1
Gen52,31.5303,32.871,27.8967,21.6282,17.9437,12.1396,29.6954,30.7856,56.6921,37.4685,Environment_1
Gen53,35.3193,37.0818,28.2836,21.2052,38.8739,37.3936,22.4072,20.0849,13.6811,31.214,Environment_1
Gen54,16.5196,20.4659,39.0642,13.1377,33.6885,10.5344,15.1989,32.9573,11.6432,13.7339,Environment_1
Gen55,11.3102,21.6063,26.0636,17.5952,21.7174,16.9462,29.2189,19.8638,18.9643,12.6207,Environment_1
Gen56,33.602,13.218,27.149,19.0775,17.4182,12.3447,30.5583,41.3655,24.9221,21.7646,Environment_1
Gen57,33.5844,33.6295,22.5395,14.9022,26.2582,13.7897,26.647,19.6782,15.5402,11.3835,Environment_1
Gen58,22.4004,19.0355,28.4616,25.2219,17.445,15.5069,13.8553,17.4918,24.0598,12.2403,Environment_1
Gen59,27.5371,23.5288,28.5928,35.7569,36.599,24.8574,15.7108,12.818,11.5188,10.4286,Environment_1
Gen60,10.8103,27.4205,10.0528,11.4835,19.5976,23.6753,16.5231,33.6877,30.1288,17.3048,Environment_1
Gen1,12.0464,10.9089,11.2343,10.7465,11.3267,10.6929,11.1494,10.9666,13.1022,11.1427,Environment_2
Gen2,12.8314,13.651,10.5453,12.086,12.1105,12.9103,11.3325,12.3998,11.6582,11.8675,Environment_2
Gen3,11.6704,12.2774,12.8631,12.232,12.3503,11.5912,11.7269,10.5261,11.742,10.804,Environment_2
Gen4,13.0908,13.2374,13.0598,12.4951,12.5675,12.6541,12.908,12.5262,14.0763,13.3063,Environment_2
Gen5,14.5185,13.0901,14.1505,15.3269,12.7783,13.5969,13.4672,12.27,12.958,13.4414,Environment_2
Gen6,12.7366,13.3755,12.0328,12.6351,12.429,12.559,12.1482,12.5946,11.5278,11.3281,Environment_2
Gen7,13.8585,12.5065,13.7101,10.3533,12.2179,12.8996,12.4984,13.6173,13.343,12.799,Environment_2
Gen8,11.7016,14.4476,12.7577,13.8861,12.5458,12.9448,12.8022,11.6855,11.5611,11.8266,Environment_2
Gen9,11.9852,11.2803,12.7921,12.4551,13.856,12.3014,11.1637,13.302,10.1929,12.7597,Environment_2
Gen10,11.8326,11.1092,13.2594,12.7032,9.945,13.5263,9.7507,13.6564,13.5221,11.9595,Environment_2
Gen11,14.1355,14.8171,12.4807,13.961,12.575,13.1833,13.7193,13.8184,14.4001,12.7154,Environment_2
Gen12,12.784,12.4156,13.3041,13.2165,12.4522,14.1288,13.568,13.3039,12.1394,13.0774,Environment_2
Gen13,11.0927,10.344,12.1629,12.8091,10.9021,11.31,11.2276,9.1308,12.1242,10.9165,Environment_2
Gen14,12.6499,12.7958,11.2802,12.0943,12.1507,12.6478,12.5201,13.4966,12.6084,12.1166,Environment_2
Gen15,12.5314,12.6442,15.374,13.0032,13.306,14.2454,13.523,12.1702,13.7495,13.4385,Environment_2
Gen16,12.4353,10.3968,12.6588,10.9284,11.6407,11.4948,12.1275,12.6742,11.0772,11.8055,Environment_2
Gen17,12.0071,12.9499,13.0038,13.7046,13.5579,13.1475,12.757,13.8849,14.2387,13.3917,Environment_2
Gen18,10.8144,9.3025,13.0578,12.4361,10.8747,9.772,9.6166,11.4484,10.5052,10.3396,Environment_2
Gen19,11.1231,13.9335,12.0569,12.5348,11.3739,12.8531,11.3805,14.1691,12.6092,12.7098,Environment_2
Gen20,12.3098,12.5828,13.0251,12.727,11.7201,13.4803,11.5906,11.1927,11.8316,11.6103,Environment_2
Gen21,12.7731,12.4245,13.2603,11.0697,14.0674,12.7092,13.63,13.6807,12.2959,13.5824,Environment_2
Gen22,12.6446,10.3904,12.7049,11.8137,10.6723,10.9416,12.5158,12.6515,12.2759,10.1091,Environment_2
Gen23,11.771,13.3599,10.6856,13.4763,12.2778,11.5103,11.4021,13.755,13.29,12.3873,Environment_2
Gen24,11.6405,12.1832,10.759,11.1437,10.7521,9.9021,12.809,12.7762,12.4783,10.6403,Environment_2
Gen25,12.5149,12.6901,13.0368,10.8187,11.2116,12.5899,12.6993,12.6212,13.1505,12.1233,Environment_2
Gen26,12.5715,11.366,11.6089,11.8121,10.9853,11.955,13.0185,12.6019,11.1671,10.4473,Environment_2
Gen27,13.0806,10.9859,11.803,11.4138,11.5078,11.1068,15.0041,11.803,13.1083,12.2763,Environment_2
Gen28,12.0412,11.6628,13.2223,13.1419,11.8487,14.049,13.2649,12.9888,12.0871,11.5048,Environment_2
Gen29,13.5751,12.0958,11.3767,12.8173,11.8821,13.5172,12.9845,13.699,13.4424,11.7949,Environment_2
Gen30,12.8414,12.3452,11.2588,12.3411,11.6106,12.3002,13.7367,12.5676,12.1291,12.0883,Environment_2
Gen31,11.899,11.8921,11.284,11.6708,10.3487,13.4051,13.4992,11.2103,11.223,10.8972,Environment_2
Gen32,11.3889,11.9622,13.7807,13.4661,13.515,12.8308,13.5597,11.7544,11.0333,12.7849,Environment_2
Gen33,13.732,12.3317,13.4211,12.4884,13.7232,12.5041,13.8263,14.221,12.4381,13.0566,Environment_2
Gen34,10.6087,11.7904,12.5937,12.1045,11.7043,13.6255,10.2701,12.4128,11.2583,14.6371,Environment_2
Gen35,14.0582,12.1183,12.3103,12.0269,14.6733,12.8663,13.358,12.7425,12.9517,12.3365,Environment_2
Gen36,14.5218,11.3871,12.6859,13.6015,12.7855,12.3246,12.653,13.6819,12.2278,12.3213,Environment_2
Gen37,10.9111,13.7512,12.1279,12.5066,11.0331,11.9788,11.8372,9.3987,11.7749,10.4327,Environment_2
Gen38,10.4139,12.357,12.8662,12.2417,12.0551,11.1825,11.4144,10.1179,12.4542,11.3615,Environment_2
Gen39,11.8942,13.2445,11.7113,14.1248,11.9862,10.7059,12.7732,13.5199,13.2696,12.1801,Environment_2
Gen40,11.2048,12.7224,12.7179,12.9688,14.4289,13.6197,13.3648,13.276,12.426,13.4897,Environment_2
Gen41,12.3738,10.0524,10.3649,12.3932,10.0416,11.1631,12.112,12.4402,10.9097,10.6041,Environment_2
Gen42,11.4664,15.5109,13.7026,12.3805,13.5747,12.237,12.5983,13.2786,10.8196,13.3602,Environment_2
Gen43,14.3843,15.1448,13.4359,13.0301,13.0265,13.268,13.2102,13.4009,13.7667,13.664,Environment_2
Gen44,12.092,13.0303,12.8285,13.9383,13.0396,12.3721,12.2816,12.3581,12.0597,13.5846,Environment_2
Gen45,13.6804,13.0303,11.5635,13.0939,12.9212,11.9556,13.1956,12.0272,12.6574,14.2422,Environment_2
Gen46,12.1936,10.8872,11.1894,11.3743,11.663,13.0566,12.3677,12.2602,12.8716,12.1852,Environment_2
Gen47,12.0327,14.4089,12.1784,12.3329,13.7814,13.4747,11.3401,13.3873,12.0823,13.3359,Environment_2
Gen48,10.5661,11.5425,11.156,11.9871,12.1159,12.2337,10.0827,11.6115,11.631,12.2938,Environment_2
Gen49,14.8732,13.3774,11.6361,12.4438,14.6332,12.932,14.2058,13.5922,14.1007,12.7602,Environment_2
Gen50,10.7376,10.774,10.9458,12.1094,10.9722,10.579,11.7785,12.5757,11.5284,10.5454,Environment_2
Gen51,13.6967,15.072,13.1648,12.8074,11.9481,13.9061,12.0084,12.0803,15.122,13.1206,Environment_2
Gen52,11.1608,12.4312,11.9392,12.0478,10.67,12.1712,10.6005,13.2266,10.7252,10.7755,Environment_2
Gen53,13.542,12.3713,13.4762,12.1544,13.1421,13.851,12.4065,11.181,11.6147,12.0894,Environment_2
Gen54,11.7859,11.1532,11.2733,12.4999,10.8505,13.0496,11.632,11.869,12.4323,10.7546,Environment_2
Gen55,13.9357,12.7389,12.8873,13.6988,13.0603,12.9873,14.1078,13.2076,13.3434,13.8311,Environment_2
Gen56,11.5792,12.9225,11.6745,13.1211,11.9767,10.1021,10.8746,12.224,13.0092,10.655,Environment_2
Gen57,11.9176,11.8716,11.4197,12.8169,11.6093,11.9174,11.8821,13.5105,10.6733,11.0819,Environment_2
Gen58,11.844,13.1026,12.2832,13.2531,12.2648,12.0691,10.5139,12.4897,12.5151,12.2759,Environment_2
Gen59,13.2813,12.0065,12.2926,13.9261,12.1461,11.7505,11.8535,14.1346,12.7109,12.7063,Environment_2
Gen60,9.4199,11.921,12.4521,10.9297,10.1149,9.1403,11.5053,9.7491,10.4044,12.2137,Environment_2
Gen1,7.7722,6.0883,8.8366,9.7063,8.1437,7.9353,8.46,9.0127,8.6359,8.7991,Environment_3
Gen2,8.9476,8.1027,8.324,8.7719,7.4414,8.3166,7.4725,7.4556,7.4605,6.6595,Environment_3
Gen3,8.5362,8.668,6.8467,7.8204,7.8744,8.4641,8.0108,8.0502,6.6752,6.7992,Environment_3
Gen4,6.7037,8.1719,10.7046,8.8105,9.479,7.2368,7.0431,7.3644,7.4401,8.315,Environment_3
Gen5,6.6452,9.5634,7.001,6.2522,6.3967,6.2721,8.8903,7.533,7.8389,6.4967,Environment_3
Gen6,8.4479,7.3316,7.6999,9.0832,8.9119,9.0681,8.0765,8.1989,7.2507,8.1228,Environment_3
Gen7,8.6583,6.4067,9.807,8.1881,8.4393,6.8054,9.7926,7.7946,7.1108,8.679,Environment_3
Gen8,9.5107,9.7486,7.9223,8.4258,9.1321,7.5127,6.8658,8.2504,8.7865,8.5052,Environment_3
Gen9,7.1997,9.0222,8.0384,6.768,7.4229,8.4173,8.8463,9.6552,9.2404,8.8974,Environment_3
Gen10,6.5427,7.5738,8.993,5.7974,8.8828,8.0015,8.6758,9.5719,7.7348,9.5813,Environment_3
Gen11,8.4322,8.3474,5.8404,6.8745,7.7123,8.1172,7.4671,8.0039,7.9928,9.0138,Environment_3
Gen12,8.131,7.0277,6.3012,7.5071,6.9844,6.5828,7.4037,8.386,6.8894,7.6652,Environment_3
Gen13,7.2498,6.8946,6.9046,8.5102,8.9542,8.5508,8.3935,7.4479,7.6278,6.5753,Environment_3
Gen14,8.1526,6.6974,8.3617,8.8596,9.235,8.8574,6.9432,8.749,7.1102,8.4494,Environment_3
Gen15,9.4697,8.7086,7.1098,7.0167,7.334,8.2116,9.4789,7.6868,8.5502,7.8599,Environment_3
Gen16,6.5545,8.5229,8.7169,9.4615,9.3902,9.6592,8.2662,7.0775,4.7559,7.7647,Environment_3
Gen17,7.6727,8.6305,8.1616,10.7049,7.525,7.107,8.9084,8.3446,8.3705,7.5054,Environment_3
Gen18,8.7556,7.8015,9.2187,7.8879,8.6212,6.5031,7.2609,7.8899,8.2698,9.6015,Environment_3
Gen19,9.2222,7.3935,8.3282,7.582,8.5182,8.437,8.6027,7.8844,7.9987,8.7859,Environment_3
Gen20,7.1249,4.8206,7.994,8.5797,7.5809,8.4673,8.4801,7.9993,6.1368,8.3586,Environment_3
Gen21,10.1751,10.7176,6.7764,7.6702,8.6303,9.2835,8.6175,7.9529,7.7941,7.9936,Environment_3
Gen22,8.7161,8.7652,7.2594,8.4079,7.4147,8.3842,7.9955,7.2148,6.3431,10.6747,Environment_3
Gen23,9.2834,7.945,9.1514,5.935,7.5644,7.8782,7.9889,6.9432,9.092,8.9179,Environment_3
Gen24,7.688,10.031,9.1755,9.1464,7.8569,7.959,8.6004,7.3276,9.1686,7.4653,Environment_3
Gen25,7.4422,6.2511,8.0666,7.3144,7.1752,6.9029,6.8515,8.6516,7.7631,6.8504,Environment_3
Gen26,8.0567,8.2376,8.3605,9.3766,8.98,8.9311,7.7843,8.6938,8.7442,8.7891,Environment_3
Gen27,8.8581,9.1759,9.048,6.8919,8.9832,7.1455,7.1133,7.2571,8.2427,8.0443,Environment_3
Gen28,8.2126,9.8295,9.2103,8.0781,10.3242,8.9309,8.2004,9.2754,7.3304,7.0866,Environment_3
Gen29,8.7316,9.6275,8.694,8.9997,8.3306,8.5981,8.8586,8.4333,8.0619,7.4943,Environment_3
Gen30,7.2245,8.326,8.2597,8.849,8.9201,8.7139,8.6911,9.0355,6.3359,7.302,Environment_3
Gen31,9.4886,7.9448,8.7388,9.9141,8.4568,7.0433,7.7416,8.3499,8.7,9.2667,Environment_3
Gen32,8.7587,7.0035,8.1446,7.4927,6.8926,9.0867,7.3463,6.8027,9.4475,6.822,Environment_3
Gen33,6.2578,8.007,6.7251,6.6185,6.3942,8.5685,6.7004,8.8571,5.8794,7.7878,Environment_3
Gen34,8.841,5.4377,7.2025,7.4414,8.4412,7.7276,7.5982,7.9263,7.3226,7.8055,Environment_3
Gen35,7.5096,9.9748,8.3345,6.056,7.8697,8.664,8.0619,8.9967,9.2297,8.8256,Environment_3
Gen36,8.1382,9.2238,7.6137,9.5948,7.4939,10.257,8.5865,6.8432,8.9293,7.5226,Environment_3
Gen37,7.4661,8.8812,8.2777,5.6662,8.9467,8.7686,8.0687,6.4058,7.4844,7.6293,Environment_3
Gen38,8.595,8.0887,8.4424,7.3727,9.3047,7.9584,6.9612,8.573,9.451,8.2371,Environment_3
Gen39,7.0988,7.9153,8.3472,7.2266,6.8145,8.1125,7.9783,7.0302,6.8233,6.63,Environment_3
Gen40,8.3161,9.2155,7.9537,7.542,9.7434,6.9218,8.2675,7.1665,9.2719,6.6458,Environment_3
Gen41,7.7938,8.3615,8.9371,8.8581,7.7718,8.0504,8.0732,7.4166,8.9734,7.1886,Environment_3
Gen42,7.8809,8.7743,8.4465,5.7983,9.523,8.5104,9.21,8.595,8.5179,8.7895,Environment_3
Gen43,7.0612,6.9401,9.149,8.4955,8.291,7.6963,8.0951,8.4964,8.0479,7.4461,Environment_3
Gen44,6.8201,7.9628,9.5382,7.3411,6.2384,9.1927,7.1358,8.5884,7.8587,8.7362,Environment_3
Gen45,8.4613,7.4022,7.7851,5.84,9.4252,7.7347,7.0397,7.9723,6.7922,8.2123,Environment_3
Gen46,7.9211,7.961,8.3472,9.3344,9.2186,8.1994,9.9362,9.3007,9.9326,9.2312,Environment_3
Gen47,8.3822,8.6483,7.9316,8.0608,7.1368,7.6627,8.9077,8.9086,8.8184,10.4231,Environment_3
Gen48,5.6435,8.6228,6.873,6.7091,7.0894,7.8889,6.9102,5.9992,5.7336,7.2616,Environment_3
Gen49,9.6146,9.7251,8.0075,10.2944,8.6978,8.4148,6.7273,9.8589,8.6909,7.1399,Environment_3
Gen50,6.5416,5.4096,8.5154,7.8002,7.0759,7.434,5.8404,8.7548,7.6028,8.8373,Environment_3
Gen51,8.8622,7.4468,7.0213,7.9914,6.8561,7.9368,9.8452,9.2281,7.4794,8.4871,Environment_3
Gen52,11.0795,7.1684,8.3309,7.5635,8.5487,8.6711,8.738,7.0418,10.1896,10.7179,Environment_3
