Genotype,L,N,B,R,Ln,Nn,Bn,Rn,Environment
24,1.46,0.99,0.725,0.9,0.84,0.98,0.62,0.915,Environment_1
25,1.46,1.19,0.71,1.09,0.925,0.95,0.635,0.9,Environment_1
26,1.18,1.13,0.61,0.995,0.865,0.98,0.535,0.825,Environment_1
27,1.18,1.22,0.76,0.925,0.855,1.065,0.57,0.875,Environment_1
28,1.625,1.17,0.7,1.115,0.735,1.055,0.75,0.885,Environment_1
29,1.13,1.195,0.785,1.445,0.94,1.055,0.785,1.27,Environment_1
30,1.435,1.07,0.875,1.07,1.015,0.965,0.825,0.965,Environment_1
31,1.22,1.055,0.8,0.93,0.94,1.02,0.815,0.915,Environment_1
32,1.73,1.155,0.955,0.955,1.045,1.17,0.835,1.4,Environment_1
33,1.41,1.18,0.775,1.015,1.0,1.02,0.74,0.885,Environment_1
34,1.475,1.18,0.94,0.99,0.825,1.07,0.835,1.08,Environment_1
35,1.105,1.055,0.8,1.12,0.97,1.105,0.76,1.28,Environment_1
36,0.915,1.105,0.835,0.915,0.89,1.045,0.735,0.925,Environment_1
37,1.7,1.04,0.91,1.12,1.095,1.12,0.875,0.98,Environment_1
38,1.17,0.94,0.66,0.825,0.79,0.94,0.57,0.785,Environment_1
39,1.61,1.105,0.91,1.28,0.94,1.295,0.88,1.4,Environment_1
40,1.205,1.245,0.825,0.995,0.905,1.07,0.675,1.02,Environment_1
41,1.385,1.32,0.825,1.04,1.015,1.37,0.785,0.965,Environment_1
42,1.36,1.32,1.0,1.095,1.08,1.045,0.775,0.81,Environment_1
43,1.105,0.915,0.725,1.005,0.915,0.97,0.785,0.925,Environment_1
44,0.875,0.86,0.435,0.61,0.725,0.76,0.395,0.635,Environment_1
45,0.785,0.775,0.42,0.56,0.56,0.735,0.42,0.61,Environment_1
46,0.81,0.8,0.395,0.495,0.52,0.735,0.435,0.61,Environment_1
47,0.85,0.875,0.535,0.605,0.61,0.725,0.365,0.61,Environment_1
48,0.76,0.93,0.42,0.52,0.545,0.79,0.445,0.665,Environment_1
49,1.08,1.07,0.495,1.02,0.66,1.005,0.535,0.905,Environment_1
50,0.835,0.94,0.435,0.595,0.535,0.75,0.34,0.505,Environment_1
51,0.79,0.71,0.395,0.61,0.42,0.63,0.41,0.56,Environment_1
52,0.66,0.56,0.33,0.545,0.435,0.58,0.355,0.545,Environment_1
53,0.94,0.9,0.48,0.585,0.51,0.675,0.42,0.61,Environment_1
54,0.71,0.675,0.455,0.685,0.455,0.67,0.355,0.575,Environment_1
55,0.86,0.71,0.3,0.43,0.405,0.57,0.25,0.33,Environment_1
56,0.74,0.765,0.41,0.56,0.47,0.69,0.345,0.52,Environment_1
57,0.8,0.71,0.355,0.545,0.685,0.635,0.395,0.445,Environment_1
58,0.81,0.66,0.395,0.62,0.44,0.675,0.365,0.65,Environment_1
1,4.25,3.25,2.25,3.25,2.5,3.25,1.25,2.25,Environment_2
2,4.25,2.75,2.0,3.75,2.25,2.75,1.0,1.75,Environment_2
3,3.75,2.25,1.5,2.25,2.25,3.25,1.0,1.5,Environment_2
4,3.5,1.5,1.5,2.5,1.25,2.25,1.0,1.75,Environment_2
5,3.5,2.0,1.25,2.25,1.75,3.25,1.25,1.5,Environment_2
6,4.0,2.25,1.25,3.0,1.75,3.25,1.0,1.5,Environment_2
7,3.0,2.0,1.5,2.25,1.5,2.75,1.0,1.5,Environment_2
8,3.25,2.25,1.5,1.75,2.5,3.0,1.0,2.0,Environment_2
9,3.0,1.75,1.5,2.25,2.0,2.75,1.0,1.5,Environment_2
10,3.75,2.0,1.0,2.75,1.75,2.5,1.0,1.75,Environment_2
11,4.5,3.25,2.25,3.5,3.0,3.25,1.5,3.25,Environment_2
12,4.25,3.0,3.25,3.25,3.25,4.0,1.75,2.5,Environment_2
13,4.5,3.0,2.5,3.75,3.5,2.75,1.75,3.0,Environment_2
14,4.0,2.75,1.5,3.75,2.75,3.5,1.75,2.0,Environment_2
15,4.25,2.75,1.75,3.0,1.75,2.75,1.5,2.25,Environment_2
16,4.75,3.0,2.25,3.5,2.75,2.75,1.5,2.25,Environment_2
17,4.25,3.0,2.0,3.25,3.0,3.0,2.0,3.25,Environment_2
18,4.5,3.0,2.25,3.5,3.25,3.0,2.0,2.75,Environment_2
19,4.25,2.75,2.5,4.0,2.5,3.5,1.5,2.75,Environment_2
20,4.5,3.0,1.5,4.0,3.75,2.75,1.75,3.25,Environment_2
21,4.25,3.0,2.75,3.0,3.0,3.0,1.5,3.0,Environment_2
22,4.25,2.5,1.5,3.0,4.0,2.75,1.5,3.0,Environment_2
23,4.25,2.5,1.75,2.75,2.5,3.0,1.25,2.75,Environment_2
24,3.75,2.5,2.25,3.0,1.75,3.0,1.25,2.0,Environment_2
25,3.5,2.25,1.5,3.75,2.0,2.5,1.0,2.0,Environment_2
26,4.0,2.25,1.0,3.5,1.75,2.25,1.0,1.5,Environment_2
27,3.5,2.0,1.25,3.0,1.25,2.25,1.0,1.75,Environment_2
28,4.25,3.0,1.5,3.25,2.25,3.5,1.5,2.25,Environment_2
29,4.0,2.5,2.5,4.25,2.5,3.25,2.0,3.0,Environment_2
30,4.25,2.5,1.5,2.5,2.5,3.25,2.25,2.5,Environment_2
31,3.75,2.5,1.5,3.5,1.75,2.5,1.25,2.25,Environment_2
32,3.5,2.5,2.5,2.75,1.5,3.0,1.75,2.5,Environment_2
33,4.0,2.75,1.5,3.5,2.25,2.5,1.5,2.25,Environment_2
34,4.0,2.5,1.75,3.5,1.75,3.0,1.75,2.0,Environment_2
35,3.5,2.5,1.75,3.0,1.75,2.0,1.25,2.0,Environment_2
36,3.5,3.25,2.0,3.75,3.25,2.5,1.75,2.75,Environment_2
37,4.25,3.25,1.5,3.25,2.5,3.25,1.75,3.0,Environment_2
38,4.5,2.0,1.25,3.0,1.5,2.5,1.0,2.0,Environment_2
39,4.5,2.75,1.5,4.25,1.75,3.75,1.75,2.5,Environment_2
40,4.0,3.75,1.0,3.5,1.75,4.5,1.5,2.0,Environment_2
41,4.5,4.5,1.5,4.25,2.25,3.0,1.0,2.25,Environment_2
42,3.75,3.0,2.25,3.5,1.75,2.25,1.25,2.5,Environment_2
43,3.75,3.25,1.5,2.25,2.75,3.0,1.5,2.5,Environment_2
44,2.0,1.75,1.0,2.0,2.0,3.0,1.0,1.25,Environment_2
45,2.75,1.75,1.0,2.0,1.25,2.5,1.0,1.0,Environment_2
46,1.75,1.0,1.0,2.25,1.25,2.75,1.0,1.0,Environment_2
47,2.0,1.25,1.0,1.75,1.25,1.75,1.0,1.0,Environment_2
48,3.75,1.75,1.0,2.5,1.25,2.25,1.0,1.5,Environment_2
49,3.0,2.5,1.0,3.5,1.25,2.25,1.0,1.75,Environment_2
50,2.75,1.25,1.0,2.25,1.5,3.0,1.0,1.5,Environment_2
51,2.75,1.25,1.0,2.5,1.25,2.0,1.0,1.0,Environment_2
52,2.0,1.25,1.0,2.25,1.25,1.5,1.0,1.0,Environment_2
53,3.25,1.5,1.0,2.25,1.5,1.75,1.0,1.0,Environment_2
54,1.0,1.25,1.0,2.0,1.0,1.0,1.0,1.0,Environment_2
55,2.0,1.0,1.0,1.25,1.5,1.25,1.0,1.0,Environment_2
56,2.0,1.5,1.0,2.25,1.25,1.25,1.0,1.0,Environment_2
57,2.25,1.25,1.0,1.75,1.5,1.25,1.0,1.0,Environment_2
58,3.5,1.0,1.0,2.0,1.0,1.5,1.0,1.25,Environment_2
1,8.45,8.85,9.25,6.25,8.35,8.9,7.3,6.75,Environment_3
2,9.95,8.9,9.35,7.35,9.75,10.9,9.45,7.95,Environment_3
3,10.85,10.8,11.9,8.5,11.4,12.4,11.3,9.1,Environment_3
4,10.05,10.6,12.75,8.85,11.1,12.75,12.1,10.5,Environment_3
5,11.0,11.95,12.7,9.65,11.9,13.3,12.1,10.6,Environment_3
6,11.75,11.0,11.95,9.3,12.15,12.85,11.35,9.75,Environment_3
7,11.75,10.25,12.75,7.85,11.25,14.0,11.85,10.05,Environment_3
8,10.0,6.15,12.55,7.9,11.8,12.3,12.5,9.0,Environment_3
9,11.25,8.3,10.6,8.65,12.25,11.95,10.6,10.15,Environment_3
10,10.85,11.85,9.5,10.3,12.05,13.45,11.1,10.55,Environment_3
11,6.95,6.85,8.0,4.0,7.4,7.4,5.9,4.9,Environment_3
12,8.35,5.4,8.15,4.1,7.45,8.35,5.9,5.05,Environment_3
13,9.3,6.7,8.55,6.35,8.25,8.75,6.65,5.85,Environment_3
14,8.25,8.15,8.65,6.55,7.65,7.55,7.7,5.45,Environment_3
15,9.3,7.8,9.4,7.1,9.05,9.45,7.95,6.75,Environment_3
16,9.15,9.15,9.25,7.05,8.45,9.55,7.7,6.3,Environment_3
17,8.4,6.9,8.45,5.65,7.45,6.85,6.25,6.1,Environment_3
18,7.8,5.9,8.75,4.65,8.6,7.7,6.7,6.95,Environment_3
19,8.5,6.65,9.9,8.65,8.5,7.9,7.9,5.75,Environment_3
20,8.95,7.7,9.85,6.95,7.4,8.6,7.75,6.95,Environment_3
21,8.95,7.3,8.8,6.65,7.35,8.4,7.35,6.8,Environment_3
22,8.65,7.9,9.3,5.45,7.7,8.65,6.75,6.9,Environment_3
23,8.6,7.0,7.55,5.25,6.55,7.45,6.2,5.2,Environment_3
24,10.85,9.85,10.9,7.1,10.25,11.5,8.9,8.3,Environment_3
25,10.05,7.75,11.1,7.05,9.0,10.4,8.8,8.05,Environment_3
26,9.55,8.8,10.8,7.3,10.85,11.85,9.8,8.85,Environment_3
27,9.6,10.7,9.65,7.5,10.25,11.3,10.7,9.45,Environment_3
28,8.55,7.6,8.75,5.05,8.15,8.7,6.85,7.3,Environment_3
29,9.65,7.8,10.1,8.0,9.3,9.0,9.3,8.05,Environment_3
30,9.75,5.75,9.05,6.65,8.8,8.75,7.65,5.9,Environment_3
31,8.55,8.05,8.05,6.7,8.0,9.4,7.05,7.75,Environment_3
32,9.65,8.55,10.75,6.8,8.35,10.0,9.65,7.85,Environment_3
33,10.7,9.05,10.6,8.85,9.85,10.15,8.8,8.0,Environment_3
34,8.0,7.9,7.65,6.05,7.0,8.4,7.3,6.9,Environment_3
35,9.1,8.65,9.5,7.1,7.75,8.9,7.25,7.9,Environment_3
36,7.95,6.2,13.25,6.15,7.1,7.65,7.6,5.95,Environment_3
37,8.65,7.6,9.05,8.45,7.45,8.55,7.15,6.5,Environment_3
38,9.9,9.05,10.8,7.05,9.2,9.6,8.25,7.7,Environment_3
39,9.7,8.7,9.5,6.85,8.25,8.85,7.35,7.4,Environment_3
40,9.25,9.85,8.95,6.25,9.25,11.25,9.25,8.05,Environment_3
41,11.3,10.3,12.75,8.8,9.65,10.15,9.0,10.3,Environment_3
42,14.0,15.4,18.15,13.25,15.85,17.1,16.1,14.9,Environment_3
43,7.2,6.35,7.8,4.65,7.55,8.45,7.1,7.05,Environment_3
44,16.9,14.05,14.5,16.0,14.0,18.65,17.0,14.9,Environment_3
45,23.25,22.1,16.0,16.55,19.65,23.6,17.15,13.3,Environment_3
46,16.5,15.15,15.55,18.3,15.75,18.1,17.25,13.25,Environment_3
47,21.0,20.05,15.75,17.1,17.6,20.7,18.4,17.65,Environment_3
48,18.85,16.0,15.35,15.8,16.95,17.9,14.85,14.15,Environment_3
49,19.7,20.0,13.4,14.2,18.55,21.6,19.9,17.2,Environment_3
50,17.9,15.65,17.8,14.55,16.95,19.3,16.75,14.45,Environment_3
51,15.95,18.55,14.75,18.65,17.75,19.25,21.0,18.25,Environment_3
52,15.3,10.2,14.05,13.55,14.05,14.55,16.7,14.5,Environment_3
53,22.0,18.3,19.75,17.65,18.4,21.9,21.8,13.85,Environment_3
54,21.5,19.45,19.05,18.75,17.0,20.75,20.15,16.8,Environment_3
55,20.15,15.05,16.85,18.4,20.55,20.05,19.55,15.15,Environment_3
56,19.4,19.85,20.25,18.95,17.85,21.45,19.2,12.2,Environment_3
57,19.8,21.5,18.6,16.65,19.45,22.9,18.7,15.75,Environment_3
58,16.1,16.5,17.35,17.7,19.0,19.0,20.1,13.0,Environment_3
1,36.7,39.5,34.25,40.75,39.4,40.3,38.5,42.1,Environment_4
2,37.55,38.6,37.6,40.95,40.6,41.75,40.95,42.7,Environment_4
3,37.8,37.8,35.5,39.8,37.4,39.75,41.65,39.85,Environment_4
4,38.45,38.7,34.35,39.95,36.9,38.5,39.4,40.4,Environment_4
5,37.5,37.8,33.2,37.4,38.7,39.4,37.2,37.75,Environment_4
6,38.25,37.4,35.1,38.0,38.1,37.6,37.9,39.05,Environment_4
7,37.35,37.85,34.15,37.7,37.45,37.4,37.4,39.9,Environment_4
8,35.2,38.5,35.75,39.5,36.65,37.7,39.35,40.7,Environment_4
9,35.9,37.9,34.55,38.2,37.1,39.55,39.35,40.35,Environment_4
10,39.7,38.35,33.7,39.35,37.85,39.95,38.35,39.45,Environment_4
11,40.25,41.15,37.05,42.9,43.45,43.35,40.75,46.9,Environment_4
12,40.3,43.6,38.7,41.75,44.45,44.0,42.9,45.3,Environment_4
13,41.15,41.75,37.65,42.6,42.2,46.0,42.6,47.5,Environment_4
14,37.4,38.3,34.8,40.05,38.45,41.0,38.4,44.9,Environment_4
15,36.65,39.25,37.65,40.45,40.7,44.15,40.85,44.2,Environment_4
16,39.65,40.6,36.4,42.85,37.4,41.95,40.5,43.15,Environment_4
17,43.7,44.6,39.6,44.75,45.5,44.95,43.7,47.75,Environment_4
18,42.4,44.6,38.0,46.0,43.65,48.1,44.55,45.25,Environment_4
19,41.05,43.0,39.45,43.2,42.25,45.45,42.25,44.8,Environment_4
20,41.1,45.0,38.95,43.9,45.15,47.9,42.45,46.05,Environment_4
21,37.8,40.8,37.1,43.6,37.6,42.7,41.1,46.8,Environment_4
22,40.35,45.8,37.5,45.05,44.35,48.5,44.1,47.45,Environment_4
23,41.55,42.8,36.35,41.55,42.6,44.25,42.05,46.95,Environment_4
24,40.7,38.95,38.9,40.75,40.55,42.0,42.55,41.95,Environment_4
25,37.45,38.2,36.6,40.1,38.9,39.45,40.1,41.5,Environment_4
26,39.75,38.6,37.85,40.25,40.8,43.8,42.15,44.05,Environment_4
27,39.0,40.9,36.75,40.55,39.8,42.7,43.8,42.05,Environment_4
28,38.4,38.2,33.2,39.8,38.95,41.6,38.45,42.8,Environment_4
29,39.35,40.35,37.9,41.15,42.2,42.95,41.55,43.7,Environment_4
30,41.6,40.25,35.95,44.6,43.55,45.2,46.65,48.0,Environment_4
31,39.35,40.65,36.8,42.55,40.15,42.05,40.35,44.8,Environment_4
32,42.15,43.6,39.2,43.8,41.55,43.35,41.95,46.05,Environment_4
33,38.3,39.35,34.7,40.15,37.0,39.9,38.05,42.8,Environment_4
34,38.35,40.2,36.5,42.7,41.2,41.75,42.05,45.8,Environment_4
35,40.6,40.1,36.25,40.95,41.15,43.5,41.65,44.8,Environment_4
36,44.0,40.95,35.55,42.9,43.75,44.8,42.05,47.8,Environment_4
37,42.8,44.45,39.9,42.1,43.55,44.9,42.5,48.1,Environment_4
38,39.25,40.85,37.75,40.95,38.6,42.7,41.35,42.7,Environment_4
39,40.55,42.75,37.45,42.9,42.15,41.8,40.55,45.4,Environment_4
40,41.2,41.85,37.75,43.25,42.25,42.25,43.65,44.5,Environment_4
41,39.9,41.3,37.65,40.9,39.7,41.25,39.9,44.3,Environment_4
42,41.4,41.95,37.75,44.5,40.75,44.65,44.75,43.45,Environment_4
43,42.2,41.75,36.2,41.75,40.7,43.55,41.4,43.95,Environment_4
44,40.4,39.35,35.55,37.2,36.9,41.45,38.85,38.55,Environment_4
45,37.0,35.85,35.55,36.75,36.3,37.9,38.85,39.3,Environment_4
46,39.6,37.05,34.35,37.95,36.75,38.3,39.0,36.95,Environment_4
47,36.8,38.95,38.8,37.8,38.85,39.65,40.85,40.55,Environment_4
48,38.15,37.9,35.95,38.25,39.1,38.1,38.8,40.25,Environment_4
49,35.5,37.25,33.25,36.3,37.5,37.5,39.0,36.6,Environment_4
50,39.9,34.2,34.95,40.2,40.05,40.2,43.15,41.5,Environment_4
51,41.65,40.5,38.45,38.75,38.7,41.6,42.6,40.35,Environment_4
52,41.0,40.35,36.45,38.15,38.3,41.3,40.25,37.95,Environment_4
53,37.65,38.4,39.55,38.35,37.45,39.05,41.75,39.05,Environment_4
54,40.2,37.0,37.4,37.2,37.5,38.8,40.65,38.6,Environment_4
55,40.8,37.4,38.0,38.9,42.05,41.6,43.3,40.45,Environment_4
56,39.8,39.25,39.05,38.0,38.5,41.05,42.4,40.6,Environment_4
57,40.6,41.4,38.95,38.2,38.6,41.4,41.2,42.15,Environment_4
58,40.9,42.1,39.2,37.45,37.35,36.5,40.75,37.35,Environment_4
1,20.895,18.85,22.33,15.92,18.665,18.235,19.285,16.855,Environment_5
2,20.74,19.835,22.445,17.645,19.79,18.75,20.665,18.86,Environment_5
3,21.295,20.355,23.68,19.975,20.93,19.57,19.945,19.67,Environment_5
4,21.99,20.385,23.175,21.075,20.255,19.52,21.81,20.36,Environment_5
5,22.13,20.78,24.82,21.425,20.89,19.9,22.325,21.42,Environment_5
6,21.16,19.92,23.17,19.91,20.745,19.55,21.815,20.4,Environment_5
7,21.7,20.29,24.1,20.735,20.97,19.53,22.255,20.515,Environment_5
8,21.145,17.88,21.445,19.13,19.675,18.985,21.055,19.19,Environment_5
9,21.495,20.05,23.1,19.76,20.325,18.24,20.825,19.54,Environment_5
10,20.43,19.745,22.045,20.015,19.505,18.61,19.985,19.675,Environment_5
11,19.09,17.915,22.355,14.23,17.585,16.485,18.24,16.45,Environment_5
12,18.745,16.785,20.945,13.88,16.595,16.075,16.59,15.47,Environment_5
13,19.18,17.15,21.71,15.21,17.265,16.65,17.82,15.305,Environment_5
14,20.76,18.835,22.745,17.32,18.525,18.035,19.35,14.98,Environment_5
15,20.685,19.115,22.13,17.375,17.85,17.53,18.865,17.03,Environment_5
16,20.435,19.07,23.01,15.41,18.75,18.7,19.365,17.42,Environment_5
17,17.455,16.22,20.23,13.06,16.0,14.985,15.865,15.99,Environment_5
18,17.4,15.655,20.1,13.615,16.135,14.73,15.76,17.195,Environment_5
19,19.395,17.4,20.455,18.325,17.59,16.665,18.885,16.465,Environment_5
20,18.215,17.315,19.93,14.845,16.415,15.77,18.08,16.615,Environment_5
21,18.645,17.59,20.88,13.03,16.98,16.735,18.265,16.48,Environment_5
22,18.95,16.96,20.34,13.395,15.97,15.535,16.145,15.26,Environment_5
23,18.675,17.3,20.755,14.075,16.875,16.935,16.83,14.64,Environment_5
24,21.2,20.495,22.455,18.055,20.21,19.195,18.745,18.515,Environment_5
25,22.055,20.165,24.01,18.585,19.955,19.365,22.35,19.055,Environment_5
26,20.07,19.92,21.96,17.285,18.85,19.195,18.965,17.475,Environment_5
27,20.71,19.415,22.74,17.41,18.92,18.78,19.31,18.105,Environment_5
28,21.03,19.99,23.395,16.75,19.505,19.18,20.005,17.545,Environment_5
29,19.935,17.965,21.37,18.685,18.225,17.05,19.515,19.475,Environment_5
30,18.91,16.495,22.135,16.245,17.035,15.565,16.935,15.97,Environment_5
31,20.165,19.27,21.985,15.65,18.325,17.675,18.25,17.38,Environment_5
32,18.695,18.415,21.3,16.07,17.18,17.285,19.08,16.485,Environment_5
33,20.825,19.745,22.8,19.075,18.925,18.025,20.375,17.975,Environment_5
34,20.135,18.76,22.35,16.265,17.925,18.45,18.775,16.085,Environment_5
35,19.635,19.15,21.03,17.05,18.155,17.91,18.06,16.49,Environment_5
36,17.91,16.56,21.555,14.32,16.925,16.11,18.775,15.545,Environment_5
37,19.155,17.42,20.625,17.985,17.7,16.87,18.23,15.815,Environment_5
38,20.74,19.76,22.8,17.305,18.925,18.67,19.53,17.285,Environment_5
39,19.93,19.36,22.95,18.21,18.335,18.15,19.445,17.235,Environment_5
40,19.625,19.125,22.4,17.265,18.73,19.12,19.175,17.645,Environment_5
41,20.97,19.755,22.015,20.81,19.14,18.195,21.45,18.88,Environment_5
42,21.37,19.15,21.91,20.795,19.93,19.2,19.955,19.815,Environment_5
43,17.995,16.905,21.235,16.065,16.925,17.03,17.905,18.42,Environment_5
44,20.94,19.715,24.52,23.815,22.195,20.015,22.52,21.66,Environment_5
45,23.735,22.175,25.24,24.105,23.73,22.135,22.495,21.665,Environment_5
46,22.03,23.08,25.65,23.425,23.25,20.495,22.745,22.515,Environment_5
47,23.83,22.46,23.505,25.095,23.435,23.19,21.47,22.41,Environment_5
48,24.43,24.095,25.8,24.525,24.085,23.82,23.82,22.21,Environment_5
49,21.825,21.825,25.725,23.41,23.07,22.18,23.175,22.61,Environment_5
50,24.565,25.045,26.845,24.76,23.515,23.32,22.555,21.82,Environment_5
51,19.66,20.345,23.46,23.995,21.65,20.885,21.55,21.31,Environment_5
52,20.21,17.37,24.64,24.545,22.745,20.08,22.555,22.205,Environment_5
53,24.4,23.535,23.615,24.575,23.58,22.135,22.63,22.525,Environment_5
54,22.905,22.105,25.92,25.815,24.125,23.405,23.5,24.25,Environment_5
55,22.315,24.925,24.57,24.345,22.905,21.945,22.17,21.545,Environment_5
56,22.585,22.205,23.58,23.955,22.88,22.1,21.405,20.39,Environment_5
57,23.18,22.14,24.755,23.675,22.815,21.705,22.125,21.435,Environment_5
58,20.78,19.415,20.845,24.63,22.72,22.08,22.8,22.27,Environment_5
