Genotype,L118,L120,L121,L150,L152,L153,L154,L155,L156,L157,L159,L160,L161,L163,L165,L166,L17,L18,L19,L21,L30,L32,L34,L36,L37,L39,L43,L44,L46,L89,L90,Environment
G19,6.3519,3.5734,6.7985,3.9933,2.4454,5.8834,6.1987,4.0773,5.9284,4.7813,2.8177,2.2374,3.2656,7.1113,4.6613,3.6054,2.7071,6.9417,6.1516,3.4016,4.8486,4.4803,5.9283,5.7327,4.3512,4.2225,3.8384,4.368,5.2168,3.9001,4.6449,Environment_0
G2,3.8606,3.5432,6.5818,3.0221,2.9661,6.3657,5.2861,3.3264,5.7626,4.4483,3.0054,2.0117,3.7824,6.7887,3.9303,2.6585,1.8833,6.2395,6.0795,2.4958,3.6477,4.4025,6.2244,6.9942,4.2946,3.5783,2.6742,3.5998,3.4618,3.845,4.7464,Environment_0
G20,5.0095,3.0004,6.3805,2.8268,2.2512,6.1505,5.1725,4.4969,6.027,4.1392,2.7734,2.29,3.6546,7.687,3.9448,2.8503,2.3618,6.5834,6.6012,2.7865,4.8112,3.758,6.2664,5.6228,3.9848,4.1922,3.9368,4.5248,3.9369,4.2195,4.4866,Environment_0
G21,4.199,3.2218,6.6476,4.1418,2.4454,5.835,5.679,4.3838,6.1182,4.5498,2.1993,1.7312,3.5446,6.3824,4.316,2.9582,2.4935,6.904,6.6474,2.5487,3.6282,4.7722,6.2005,5.7581,4.2513,3.8638,3.3563,4.2721,5.2794,4.3979,4.4402,Environment_0
G22,5.4385,3.1284,7.0645,2.6409,1.9904,6.077,4.8178,4.2851,5.8257,4.7082,2.7938,2.0293,3.2731,6.6834,4.848,2.7972,2.5149,7.2123,6.5753,3.4571,4.3723,4.7129,6.4817,5.6807,4.5415,4.219,3.871,4.33,4.2448,4.6162,4.6627,Environment_0
G23,5.4872,3.1719,7.0672,3.609,2.5719,5.9609,6.0837,3.4864,5.8179,4.554,3.653,2.0359,3.4795,7.3421,4.0155,2.0962,2.6627,6.859,6.4074,2.707,5.768,4.488,6.0383,5.7806,4.1091,3.9841,4.774,4.0558,4.4936,3.8707,4.5602,Environment_0
G24,5.4585,3.2107,7.2681,3.3917,2.2739,6.4915,5.3779,3.51,5.2452,4.77,3.7049,2.3805,3.8868,6.9061,4.0153,2.6383,2.8005,6.5454,6.6618,2.9348,6.2563,4.392,6.2929,5.8174,4.4078,3.9622,4.7649,3.9387,5.2162,4.1443,4.7133,Environment_0
G25,5.5447,3.3328,7.0042,3.1441,2.2346,6.3296,5.5078,4.4179,5.5096,4.5152,3.1918,2.3524,3.2663,8.5976,5.2011,2.6218,2.5609,6.7153,6.8349,2.5223,6.5286,3.9814,6.1869,5.6925,4.2689,3.8343,4.3835,4.376,4.5937,3.8003,4.0455,Environment_0
G26,5.4182,3.2378,6.5954,3.4686,1.6327,6.2756,5.1241,4.8337,5.5692,4.4142,3.3028,2.2682,3.3173,8.4676,4.6932,2.7022,2.5901,7.0333,6.7647,2.5008,6.0406,4.4091,6.5996,5.706,4.2398,3.974,4.3081,3.7458,3.9781,4.2967,4.3154,Environment_0
G27,5.6292,3.303,6.7345,3.445,1.7317,5.8728,5.1382,4.0344,5.8043,4.1087,3.9115,2.4231,3.4947,9.6436,4.4994,2.4253,2.4607,6.6442,6.8099,2.8622,6.7351,4.2658,6.1175,5.6964,3.9449,3.4066,4.5259,3.4234,3.989,4.1056,4.5063,Environment_0
G28,6.3362,3.1579,6.9393,3.7104,2.2831,6.1834,5.1692,4.1109,5.7201,4.3584,3.4484,2.2652,3.5664,7.46,4.8622,2.7051,2.497,6.997,6.8204,2.9318,5.5541,4.3445,6.4675,5.6118,4.6174,3.9631,4.5862,4.3527,3.6461,4.2263,4.1423,Environment_0
G29,5.9393,3.0508,7.0433,3.2995,2.7649,5.9705,4.8211,3.7129,5.2831,4.2309,3.2272,2.4854,3.3752,8.1033,4.9211,2.5903,2.418,7.1625,6.5923,2.9902,6.0103,4.0618,7.2528,5.5645,4.0162,3.9472,5.0899,4.2803,4.9889,4.3495,4.7683,Environment_0
G3,4.2122,3.1282,6.4672,3.6083,2.6589,5.5313,5.3186,3.9309,5.7702,4.7092,3.8278,2.57,3.8637,7.6068,3.8237,2.79,2.6453,6.7461,6.5872,2.8478,5.9897,4.35,6.4566,6.6832,4.0284,3.5009,4.4637,4.4776,4.346,3.4022,4.6733,Environment_0
G30,5.5172,3.84,6.8147,3.2363,2.3099,6.0751,4.4337,4.2528,6.0781,4.3893,3.8426,2.1068,3.6797,8.5229,4.7028,3.049,2.6224,7.2733,6.6043,3.0446,5.6096,4.0657,6.3063,5.4891,4.2719,3.7644,5.1175,4.8686,5.4212,4.1514,4.4691,Environment_0
G31,5.346,3.0226,6.9608,3.408,2.0346,6.6325,6.2191,3.3546,6.3551,4.6253,3.9436,2.2903,3.4789,8.4804,4.6041,2.1946,2.4043,7.2952,6.3388,3.102,6.7109,4.3798,7.273,5.6618,3.8891,4.2992,5.232,4.3708,5.1939,3.8902,5.1709,Environment_0
G32,5.8515,3.1467,6.855,3.083,2.4875,6.0913,5.3415,4.0329,5.5754,4.4765,2.9267,2.09,3.1466,7.0502,4.7978,2.7407,2.7776,6.3395,6.6392,2.6766,4.5308,4.5862,6.2116,5.625,4.3564,4.0963,4.1943,4.1615,5.1103,4.275,4.0211,Environment_0
G33,4.8839,3.2477,6.9194,2.8166,2.4698,5.8927,5.3389,4.0625,5.2417,4.5241,3.4273,2.1983,3.2287,7.1922,4.7248,2.4434,2.548,7.1252,6.4567,2.6487,4.5836,4.3322,6.29,5.5571,4.0524,3.9945,3.9581,3.688,4.7166,3.7399,3.934,Environment_0
G34,5.6588,3.33,7.3743,2.7007,2.2159,5.915,4.4592,3.6295,5.1203,4.1157,3.6972,1.885,3.037,8.2576,3.9845,2.4097,2.4759,6.7741,6.3772,3.2466,6.4679,4.0218,6.1638,5.4949,3.4428,3.6909,3.9538,3.4292,4.9813,4.1104,3.6611,Environment_0
G35,5.5932,3.4144,6.8988,3.6207,2.7677,5.8627,5.2783,3.7555,6.0827,4.327,3.4287,2.3023,3.3472,9.3799,5.0015,2.8127,2.774,6.4833,6.5655,2.5967,6.3017,4.4442,6.3387,5.54,4.1065,4.1983,4.5556,4.2054,3.9355,4.1342,4.5681,Environment_0
G36,5.296,3.3277,6.9511,3.5671,1.8388,6.0613,5.4936,4.3153,5.8967,4.4989,3.0477,2.0667,3.2627,7.5464,4.5074,2.5354,2.6179,6.6561,7.0139,2.7551,4.7878,4.823,6.4572,5.5342,3.8245,3.9258,4.1156,4.2619,5.35,4.2944,4.0104,Environment_0
G37,5.4503,3.4239,6.7787,3.2813,2.2568,5.7387,4.6669,4.0511,5.6138,4.3051,3.8371,2.4462,3.6401,8.6203,5.0637,2.9468,2.6061,6.8551,6.4073,2.3815,6.2822,4.3637,5.9743,5.4764,3.8981,3.5967,4.7296,4.1243,4.477,4.2918,4.6843,Environment_0
G38,4.9774,3.4104,6.9088,3.301,2.303,6.311,5.0349,4.396,5.5179,4.4074,3.7811,3.0129,3.1532,8.3036,5.0979,2.5936,2.6066,7.1168,6.534,2.6831,5.4721,4.0534,6.3743,5.4142,4.5438,3.9472,4.8403,4.4231,4.9269,4.6235,4.9681,Environment_0
G39,5.5505,3.4946,6.8314,3.3208,2.4219,6.3701,5.2592,4.2986,5.9739,4.3246,3.7854,2.6466,3.8105,8.2843,5.5238,2.4134,2.5466,7.0367,6.7135,2.9248,5.643,4.2377,6.6416,5.5206,4.46,3.8698,4.7751,4.2944,4.5912,4.3162,5.0698,Environment_0
G4,5.2453,3.0634,6.8928,3.7917,2.5987,5.4248,5.2085,4.0041,4.8761,3.931,3.0094,2.6737,3.6185,7.2538,3.8723,3.1773,2.4552,6.7373,6.4839,2.5009,4.4834,4.9196,6.8334,6.2772,4.3079,4.0709,3.9736,4.0341,4.3388,3.7289,4.7622,Environment_0
G40,5.7335,3.272,6.3639,4.2307,2.3804,6.1328,5.4224,4.0056,5.3692,4.1636,4.2775,2.158,3.3109,8.2495,5.1952,2.4371,2.5359,7.0584,6.6614,2.6577,5.7959,4.2547,6.3387,5.3968,4.092,4.3056,4.6191,4.4643,4.9013,4.1922,4.6649,Environment_0
G41,5.6539,3.4996,7.5498,4.2212,2.3474,5.6102,5.9425,4.2118,5.632,4.5755,3.7473,2.0106,3.1417,7.0317,4.1639,2.9302,2.6009,7.1588,6.5425,2.5243,5.171,4.4741,6.4849,5.2828,4.179,4.0826,4.4161,4.2709,4.8998,4.3452,4.5321,Environment_0
G42,6.1583,3.1122,6.7657,4.0616,1.9338,5.8969,4.7719,3.5089,5.1729,4.564,3.7071,2.351,3.2806,6.7929,4.2989,2.6025,2.6494,6.6057,6.673,2.6258,5.4194,4.236,6.2266,5.3763,4.0841,3.9019,4.4692,4.3713,4.3501,4.4111,4.8079,Environment_0
G43,6.0974,3.3253,6.8507,3.3301,2.164,5.6084,5.0459,3.3401,5.0721,4.4339,3.6213,2.5825,3.183,8.8434,5.122,2.982,2.5725,6.5039,6.4361,2.9847,5.376,4.2215,6.4631,5.2669,3.8425,3.6864,4.5026,4.1487,3.5477,3.9923,4.5552,Environment_0
G44,4.4999,3.4304,6.8837,3.7754,2.4835,5.7226,5.4296,4.1388,5.5967,4.6475,3.5761,2.597,3.3089,6.9385,4.2023,3.0014,2.7207,6.9077,6.7556,2.9034,4.9485,4.9318,6.8841,5.1842,3.8017,3.4818,4.5389,4.7183,4.8911,4.0698,4.7354,Environment_0
G45,4.5393,3.4017,7.2485,3.6064,2.8315,6.5222,5.4147,3.8707,5.4486,4.3044,3.6844,2.2817,3.1659,8.5566,4.5996,2.5429,2.5399,6.8248,6.7109,2.7945,6.2388,3.9689,7.0111,5.1214,4.5375,4.0952,4.6097,3.9596,5.1177,3.8417,4.7617,Environment_0
G46,5.9821,3.4805,7.3654,2.8994,2.5411,6.193,4.5952,4.1146,5.8206,4.3593,3.2381,2.576,3.0468,8.4703,5.2285,2.732,2.6804,7.2377,6.7608,2.8518,5.8628,4.1306,6.731,4.7112,4.1842,3.7684,4.7492,3.914,4.2792,4.5441,5.0343,Environment_0
G47,5.5096,3.3043,6.9187,3.7034,2.5728,5.9279,5.4915,4.0576,5.3834,4.3498,3.7991,2.5108,3.2564,7.8265,4.0085,3.0439,2.8179,7.3608,6.9896,3.1545,5.9814,4.2992,6.2967,4.0916,3.9152,4.0761,4.33,4.2033,3.7946,4.1109,4.8079,Environment_0
G48,5.6563,3.1773,6.8411,2.6425,2.369,6.254,4.7552,3.9161,4.987,4.3375,3.6749,2.7635,3.6064,9.455,4.5165,2.6654,2.5695,7.1124,6.7241,2.7739,6.7014,4.2042,6.9274,5.4189,4.5288,4.0455,4.4298,3.7933,4.1561,3.7282,4.0647,Environment_0
G49,5.1298,3.223,6.5931,3.2476,2.369,5.8299,4.8031,4.0526,5.3828,4.2595,3.4086,2.4779,3.5265,8.6901,4.8554,2.5725,2.6711,6.5809,6.6137,2.8929,6.0876,3.999,6.6117,4.9751,4.1984,3.7058,4.6294,3.8994,4.1996,3.8541,4.4923,Environment_0
G5,5.3307,3.5023,7.2718,4.3578,2.4067,6.1866,5.3977,4.272,5.3611,4.4973,3.4648,2.5284,3.7369,7.6693,4.9127,3.045,2.548,7.0437,6.8184,3.0162,4.572,4.555,6.1752,6.1932,4.5875,4.2734,4.0703,4.9888,5.332,3.8618,4.8015,Environment_0
G50,5.7607,3.4947,7.1399,3.2673,2.3184,6.2976,5.4589,3.7193,5.9767,4.3236,3.7544,2.2904,3.6761,8.5913,4.5992,2.1069,2.4858,6.9501,6.6882,2.6746,5.49,4.0833,6.0996,5.0339,4.3203,4.4099,4.5404,4.2537,5.1977,4.5344,4.5965,Environment_0
G6,5.6081,3.6176,6.6565,4.1645,2.2399,6.2234,5.238,3.8911,5.3959,4.7406,2.3567,2.0263,3.8236,6.5587,4.4144,2.8521,2.624,6.9192,6.8086,2.9925,4.3443,5.0497,5.6631,5.9858,4.6459,4.0456,3.8996,3.8625,5.3062,4.6873,4.7733,Environment_0
G7,5.5931,3.3665,6.9155,3.8746,2.291,6.1441,4.4396,3.5759,5.792,4.567,3.4067,2.6882,3.825,6.2127,5.5664,2.7242,2.3839,7.083,6.3984,2.9466,5.1411,4.792,6.211,6.1325,4.1718,3.7484,4.019,3.5147,4.8979,4.6318,4.8723,Environment_0
G8,3.9492,3.2871,6.7809,3.7239,2.4147,6.7183,5.6405,3.9476,5.7402,4.6027,3.6161,2.5556,3.4442,6.973,4.7436,2.9489,2.6672,7.5767,6.5681,3.2067,5.7371,4.5881,6.8685,6.0554,4.4259,4.1832,4.1219,3.7847,4.6147,5.2393,4.7326,Environment_0
G9,5.0378,3.3584,7.5526,2.8578,2.7336,6.0308,4.8576,3.7149,5.1964,4.5355,3.6534,2.5559,3.8749,8.8283,5.2862,2.5484,2.3325,7.3341,6.5845,3.182,6.3415,4.4618,7.2411,5.9865,4.5627,4.3433,5.2275,3.8753,4.805,4.7692,5.0994,Environment_0
G1,107.5811,82.2485,104.3357,84.4796,89.3606,101.931,95.8414,95.1215,101.801,100.5575,96.8447,89.2427,90.5236,111.5256,104.3391,80.7793,70.4396,102.4846,97.3732,69.7567,96.6212,85.7507,113.147,95.9807,87.3181,96.8371,101.7508,94.6925,93.8549,81.731,95.7382,Environment_1
G10,103.0801,82.1464,106.3455,84.3988,83.6961,102.3029,104.749,97.6737,99.0486,104.5366,107.3239,91.702,100.2584,102.8483,105.1581,81.4479,78.8758,102.8905,99.5876,65.3295,98.8822,92.4992,111.0552,91.7546,91.5615,99.7407,108.1416,100.5178,101.5113,86.8516,104.3506,Environment_1
G11,103.3376,79.549,102.5718,83.7744,84.1055,100.174,96.6975,95.2378,99.1835,102.2017,101.262,89.4195,95.3136,100.0911,104.8733,83.3319,79.911,100.6641,93.9728,67.0628,97.1372,90.4928,107.4254,92.8694,86.8459,95.3934,103.4827,96.0544,98.549,80.6188,103.6098,Environment_1
G12,106.7191,81.999,99.5091,83.4649,83.3804,100.9805,98.3561,95.7422,96.4854,102.3642,104.9575,87.3436,98.8204,109.7892,100.6196,82.8714,77.0721,102.9804,99.1457,64.9066,98.2055,89.4788,109.2785,93.5517,90.3501,98.1501,102.3755,97.5862,99.5698,74.6131,102.02,Environment_1
G13,105.3868,78.9364,101.9087,86.2629,83.5263,99.6354,98.0179,93.8055,99.1029,107.4461,106.1033,89.8219,101.0385,112.8518,103.3953,80.7624,80.8451,104.0206,98.2923,63.0011,97.4772,89.8678,111.2588,94.2535,92.8435,97.3657,103.5247,99.7225,103.1428,83.3564,103.814,Environment_1
G14,102.2182,80.8761,102.1948,85.4117,83.7989,96.2834,94.4221,93.19,96.4365,98.9087,103.6089,90.8167,96.0516,104.1745,101.7764,80.8365,75.3701,99.669,97.6427,63.1829,100.1285,86.4272,110.904,93.3809,85.0637,97.3364,101.6696,95.9769,96.5072,86.4925,100.4944,Environment_1
G15,95.2487,77.6093,97.1775,82.5456,78.7952,98.6216,90.5833,92.1158,96.3994,104.4047,101.0342,80.3596,99.6868,109.2788,104.0712,78.0589,78.8175,99.2894,96.2647,57.932,97.8152,85.8126,106.5277,94.2535,83.0433,93.6484,97.4418,94.5183,94.4655,85.3841,98.745,Environment_1
G16,98.8388,80.5698,99.4913,84.3979,83.461,99.3248,93.7462,95.7422,91.3675,105.3295,102.5951,91.4926,99.093,108.7684,105.1558,76.7812,77.0598,96.6275,91.2219,64.1967,98.7767,87.7789,106.1729,93.043,84.8271,93.2811,104.3731,96.9231,99.5698,84.4649,102.1841,Environment_1
G17,105.0294,81.4886,101.1988,86.5064,80.0011,98.9529,100.7216,95.7422,98.5131,101.3504,103.9437,81.9366,95.4411,106.2162,104.6748,79.492,76.7341,105.008,98.1319,65.5825,100.909,87.4512,111.3061,90.8482,89.2349,94.0948,102.3755,97.6538,98.549,86.7788,102.02,Environment_1
G18,101.2264,78.7323,97.2155,83.2386,78.7989,98.6975,94.7746,88.5855,98.1118,101.9255,99.6404,85.8586,99.8199,110.2997,104.7063,77.8913,77.3666,97.6653,96.065,61.2231,101.8223,85.2709,103.7501,94.3368,86.5619,94.8606,98.9851,96.4197,101.1011,85.4679,100.2261,Environment_1
G19,105.0272,80.5698,96.489,84.7882,80.0503,96.1187,96.0216,93.5481,103.2388,101.1879,102.2758,92.461,95.9894,109.7892,105.5492,77.587,76.5316,98.6365,98.028,68.0767,93.082,88.8031,107.7634,93.2073,91.0363,96.0692,100.7792,94.2972,96.5072,86.7017,101.9201,Environment_1
G2,100.3987,81.7381,99.6765,83.9153,82.4135,98.9721,93.6116,94.9333,96.6686,102.8223,93.8932,89.4475,98.9577,108.4631,91.867,82.558,72.4238,97.8454,97.672,66.7491,86.3827,89.3153,105.929,93.7244,88.1934,95.9132,95.9948,95.6212,94.3653,77.7165,99.0133,Environment_1
G20,102.9161,81.0802,99.919,82.2247,82.5162,100.7251,93.7608,95.3442,100.8153,102.6013,103.0198,93.2933,98.8061,108.7684,109.7754,78.9051,77.7045,100.3687,96.7409,69.6715,96.0774,90.3399,103.7501,94.6747,86.4267,98.2399,99.323,96.2507,100.5907,84.1162,98.5364,Environment_1
G21,103.595,76.8528,98.6324,83.2423,83.8105,97.4117,97.6993,95.1197,99.1512,107.29,100.0608,91.5452,99.1454,107.3096,104.8301,77.8201,80.3247,104.5367,97.1303,65.9027,97.4832,90.5952,102.0144,94.1279,88.4058,100.2843,100.4204,97.7675,95.875,87.4462,102.4437,Environment_1
G22,105.9826,83.2842,104.1291,86.1382,85.5693,99.1499,99.0656,98.3115,101.5024,108.6171,102.5131,93.008,100.5482,108.8409,104.7186,78.5922,82.6591,106.9261,100.2838,73.4051,97.1494,93.1562,112.4333,95.4218,91.7627,99.8361,104.8326,98.8185,103.021,87.0975,105.5547,Environment_1
G23,101.335,80.732,97.9956,83.2947,83.1033,98.5988,94.2298,89.7566,99.5326,103.1484,101.4312,90.486,99.7591,105.2679,108.2649,76.9362,79.1207,100.1248,92.7845,64.0377,96.5196,87.2262,106.9843,94.6302,88.059,94.286,102.2335,93.9925,99.9584,86.9796,102.1797,Environment_1
G24,101.6946,79.0987,96.6566,85.7832,80.4965,98.3981,94.5365,91.7037,97.7623,100.6202,100.1896,88.8608,101.4288,108.3304,100.0282,78.7598,79.0409,95.0328,94.7385,64.0312,97.8734,83.8977,102.0313,91.2832,88.0413,96.2584,100.2479,95.3626,93.3228,80.9308,99.0046,Environment_1
G25,104.7166,83.1821,97.2985,84.337,81.3644,100.0812,95.8884,97.6719,97.8484,101.9592,93.6368,86.7204,97.5211,105.2679,93.5352,81.2068,76.2817,101.0893,96.2677,64.585,97.9257,87.9019,102.4165,92.9469,89.4004,96.029,98.0849,96.6057,97.4063,83.6773,97.2106,Environment_1
G26,103.0247,82.6717,98.3336,82.6188,82.4275,100.9643,99.9747,98.205,100.8844,103.1484,97.7139,86.7687,99.0832,105.7783,101.5062,79.9776,78.4448,103.5041,97.5156,68.4309,98.2093,87.902,107.9981,94.2923,92.5535,96.6516,100.8817,96.8988,97.4063,83.6002,103.8694,Environment_1
G27,105.074,83.2842,102.0636,82.7418,82.8621,97.3843,96.2261,98.4625,97.4244,106.3652,101.5414,86.4952,101.0909,112.9243,103.0696,79.4357,80.7306,99.426,100.8214,70.7899,98.8872,87.615,108.4521,91.9591,93.1442,97.9481,102.9514,96.0385,102.5106,80.2549,99.0046,Environment_1
G28,99.6475,77.6695,96.6226,83.999,75.6195,97.3777,93.8608,92.5676,97.8484,104.3247,97.6921,88.0721,94.8176,107.82,106.7147,78.8412,71.5506,98.0478,94.2401,63.2332,91.167,84.8605,100.3889,94.9746,87.1701,96.029,96.7331,93.1588,92.302,85.0291,98.9003,Environment_1
G29,101.9053,83.2842,100.9979,82.2285,84.1484,99.4393,93.3061,95.1197,97.1236,103.5727,102.7643,87.49,99.8212,106.7991,105.1681,80.1857,75.2556,100.4814,97.1303,65.5648,98.835,88.9055,109.449,93.79,89.6224,100.6222,100.7583,95.6723,101.4897,80.0116,100.754,Environment_1
G3,102.8694,81.7381,98.2869,81.8706,83.0857,96.1927,92.4618,93.3946,98.6735,99.2186,97.6526,90.3693,104.5694,105.9109,96.6388,80.36,77.93,100.8213,95.1681,67.1753,96.5689,85.1259,104.3134,92.9652,88.2231,94.701,97.1551,95.6122,93.8549,84.3914,102.6012,Environment_1
G30,100.9136,83.6925,100.4118,82.4209,80.8381,99.4879,98.0518,94.9321,100.1506,102.8722,102.1752,85.2355,95.8171,106.7991,104.3806,77.9163,75.2244,98.1397,93.525,67.3223,96.8115,84.3698,104.6607,94.07,88.3833,98.4844,102.467,96.3854,102.0002,72.5662,100.4857,Environment_1
G31,97.8025,79.0216,95.5075,82.7674,79.1473,93.4347,91.6921,91.4831,94.9989,100.8237,99.3653,87.6052,97.5004,109.0737,99.964,79.6519,69.7575,102.1062,97.251,62.9312,95.1261,87.4836,102.7818,92.4318,84.465,97.2114,99.0558,95.604,101.5946,74.29,97.3192,Environment_1
G32,105.8914,80.4508,102.5915,85.6859,83.4438,100.0561,95.7786,96.2948,101.5003,103.6898,101.6207,86.1891,100.5619,106.0111,107.8628,82.5594,78.9615,98.4119,96.6488,60.5722,100.1931,89.7982,109.4245,92.0615,89.0786,97.6046,103.407,95.0449,104.1467,71.5524,102.1841,Environment_1
G33,102.5142,82.5946,104.5978,82.335,81.029,100.1868,98.789,94.7866,98.1263,104.5282,102.2747,89.5201,100.0135,105.5007,108.3402,78.7194,80.8537,102.4178,96.4147,66.1885,97.2061,90.8119,106.8844,91.73,89.4063,96.9819,102.2998,95.8332,101.5946,84.1332,102.284,Environment_1
G34,103.7802,79.532,98.2489,82.1086,82.1924,99.9314,97.2351,98.0909,96.7113,102.7377,102.0267,83.642,96.6198,104.4798,106.3441,79.1463,77.0929,103.5235,98.4031,69.9396,96.4297,93.3627,105.0733,93.5289,87.1725,97.0718,100.5991,97.0322,98.0216,77.7532,98.8004,Environment_1
G35,108.1514,81.0633,100.1868,81.9162,80.7716,101.5725,100.2619,94.7866,102.1327,106.1417,103.6296,87.9242,100.624,102.4381,109.4971,78.0363,80.5035,100.1202,100.3187,60.4096,99.4671,86.7465,110.5375,95.6145,90.7434,95.4924,102.9456,95.3729,91.386,77.4261,104.1377,Environment_1
G36,100.8223,83.2071,101.2398,83.6583,84.4576,98.0285,98.4821,96.2948,98.4589,105.0415,104.3242,87.8788,98.1963,113.6676,102.7937,78.5041,77.6098,101.4533,96.6488,63.6136,99.8552,86.4188,105.0313,89.6959,89.9573,98.6184,102.7311,95.9236,97.0007,74.9318,100.4944,Environment_1
G37,109.2729,84.1259,103.922,84.0247,83.7325,100.8626,95.0717,97.3387,100.8298,107.2317,102.9506,88.8442,100.6894,106.0111,104.9608,78.3815,80.1778,101.7419,99.1182,67.8782,99.5717,88.1084,110.9396,92.7438,89.9808,100.0234,105.3413,95.8332,99.0424,73.6571,105.6634,Environment_1
G38,108.8493,84.4321,102.9801,88.5294,81.8545,100.2693,97.2351,98.0909,102.1183,107.1309,101.3508,91.4146,99.9992,110.0946,107.0199,78.8084,80.1344,102.5097,96.0376,67.2361,99.1332,87.9557,110.4803,93.8669,92.005,100.7891,103.6405,100.1413,99.0424,81.1326,102.1797,Environment_1
G39,111.32,85.453,100.9145,83.1054,86.244,97.8278,100.4784,98.2419,101.0818,105.2169,102.4067,89.9708,97.5004,111.6259,99.6261,78.3001,78.2059,103.458,97.9269,68.6762,96.8158,89.5112,108.8647,93.4456,92.1024,98.2252,102.7731,99.9295,103.6363,81.0487,104.078,Environment_1
G4,107.5789,81.9423,103.6811,83.0994,88.7339,99.0968,96.5483,93.1372,98.7541,105.4641,101.5977,91.3187,100.5342,109.9943,101.4962,81.5778,78.3477,102.8718,101.6626,66.8439,94.8771,95.8889,111.6319,92.9328,91.0457,96.446,103.1959,102.0147,101.5113,76.2468,102.397,Environment_1
G40,103.0823,81.3695,101.2007,84.9577,84.151,98.5311,92.8273,92.2344,99.7671,102.7623,100.2503,87.9242,100.624,108.5633,99.021,78.3742,77.8,101.8099,94.9117,66.1545,99.1291,86.7465,106.8202,91.8972,90.0675,98.8717,102.2698,100.3744,97.5111,80.8054,102.448,Environment_1
